Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
CCDC9	9	-0.539	0.113658599	-0.677	0.402104266	-0.424	0.352315519	-0.414	0.951152111
CCDC90B	10	0.319	0.030683165	-0.312	0.504528712	-0.124	0.817182322	-0.086	0.841219666
CCDC91	10	0.164	0.349545794	0.279	0.182782623	0.155	0.674287516	0.466	0.088312795
CCDC92	10	0.193	0.136241739	-0.009	0.480758169	0.216	0.763537733	0.109	0.766552741
CCDC93	9	-0.701	0.150330507	-0.888	0.328086091	0.072	0.82334088	-0.058	0.909833964
CCDC94	10	-1.743	0.001366169	-2.912	0.000541126	-1.638	0.150726482	-2.308	0.000564182
CCDC96	8	-0.969	0.058709225	-0.881	0.392975552	-0.259	0.827566684	-0.557	0.156327654
CCDC97	8	-0.116	0.606461071	-0.367	0.851683736	0.058	0.840221478	-0.375	0.878161636
CCER1	10	-0.862	0.447950741	-1.664	0.268107762	-0.430	0.63898173	-0.960	0.531714579
CCHCR1	10	-0.066	0.889863872	-0.278	0.621511783	-0.069	0.913996122	-0.085	0.478492192
CCIN	9	-0.015	0.63749276	-0.336	0.618693868	0.051	0.704844685	-0.314	0.386130414
CCK	10	0.283	0.116238164	-0.075	0.97145564	-0.055	0.936108166	0.078	0.929748495
CCKAR	10	0.048	0.479519673	0.308	0.106671528	0.102	0.6727203	0.235	0.219413126
CCKBR	9	0.116	0.569371076	-0.124	0.574194318	-0.072	0.957195076	-0.178	0.966922945
CCL1	10	0.141	0.258823578	0.311	0.224636668	0.212	0.278645932	-0.061	0.883660624
CCL11	8	0.299	0.145128296	0.524	0.10048634	0.535	0.093766019	0.669	0.023419791
CCL13	10	0.334	0.214745392	0.501	0.068086184	-0.010	0.966540527	0.234	0.138637442
CCL14	10	0.057	0.50983369	-0.019	0.522034503	0.125	0.737179934	0.067	0.88588622
CCL15	10	0.134	0.554932566	0.278	0.228120812	-0.250	0.930729691	0.155	0.87646526
CCL16	10	-0.049	0.820680045	0.024	0.658991461	-0.013	0.674349245	-0.237	0.707513671
CCL17	10	0.202	0.372098451	0.188	0.284503787	0.096	0.816141951	0.256	0.503751629
CCL18	9	-0.080	0.851526159	-0.125	0.777478893	-0.505	0.837389996	-0.059	0.766323679
CCL19	9	-0.118	0.52573528	-0.093	0.924801986	0.190	0.490667327	0.244	0.282739193
CCL2	10	-0.063	0.756839135	0.315	0.018221545	0.230	0.714196131	-0.114	0.636680659
CCL20	10	0.467	0.04308572	0.431	0.291165854	0.181	0.676401962	0.303	0.237429144
CCL21	10	-0.257	0.397795159	-0.356	0.751631028	0.118	0.936108166	-0.058	0.999420829
CCL22	10	0.335	0.105711916	0.038	0.799467518	0.172	0.515921492	0.159	0.7325033
CCL23	9	0.096	0.86474122	0.146	0.306703012	-0.105	0.876094695	0.170	0.779058857
CCL24	8	0.054	0.909879353	-0.127	0.813404938	0.247	0.535347376	-0.101	0.993126195
CCL25	10	-0.022	0.372098451	-0.619	0.997529117	-0.157	0.980538221	0.095	0.644483155
CCL26	9	-0.120	0.407639677	-0.609	0.911713259	-0.175	0.937174899	-0.265	0.980870365
CCL27	8	-0.234	0.707585142	-0.704	0.250129936	-0.072	0.998441202	-0.252	0.763560852
CCL28	10	0.113	0.632510574	-0.256	0.938077718	0.137	0.905405097	0.222	0.255403474
CCL3	10	-0.377	0.902443126	-0.146	0.700999866	-0.103	0.978883458	-0.119	0.945330024
CCL3L1	10	-0.257	0.99239539	-0.493	0.940735881	-0.583	0.467359435	-0.842	0.39086436
CCL3L3	10	-0.257	0.99239539	-0.493	0.940735881	-0.583	0.467359435	-0.842	0.39086436
CCL4	10	-0.060	0.48856033	0.054	0.394955538	-0.232	0.934747234	0.005	0.969496699
CCL4L1	10	-0.160	0.886963017	-0.198	0.747814705	-0.371	0.772589899	-0.153	0.549700945
CCL4L2	10	-0.142	0.886963017	-0.191	0.747814705	-0.333	0.842802952	-0.184	0.549700945
CCL5	10	0.016	0.688854028	0.111	0.480981078	0.010	0.972695133	-0.280	0.736441012
CCL7	9	0.163	0.284106207	0.336	0.112211937	-0.037	0.85801896	0.073	0.837640194
CCL8	10	0.552	0.014732245	0.516	0.051417138	0.135	0.776770966	0.170	0.701946154
CCM2	10	-0.080	0.580505462	0.151	0.336928096	-0.264	0.394808336	0.171	0.302245252
CCM2L	9	-0.204	0.980714029	-0.223	0.938771433	-0.301	0.771483977	-0.598	0.633489905
CCNA1	10	0.045	0.51348973	0.338	0.012334228	0.125	0.698162327	-0.099	0.896261134
CCNA2	10	-1.919	0.000133628	-1.567	0.040667558	-1.161	0.003221191	-1.699	0.000332424
CCNB1	9	-0.087	0.956911429	-1.561	0.194827548	-1.214	0.009478804	-0.350	0.822971669
CCNB1IP1	10	0.134	0.766676188	0.128	0.651951929	0.019	0.958444821	-0.064	0.805540329
CCNB2	9	-0.173	0.791775398	-0.819	0.354041467	-0.581	0.420896299	-0.505	0.148761468
CCNB3	10	0.058	0.796842389	0.012	0.646078294	0.125	0.486434272	0.157	0.661187804
CCNC	9	-0.499	0.130026699	-2.038	0.007340828	-1.142	0.013438556	-1.222	0.015215411
CCND1	10	0.125	0.641049154	-0.116	0.860150792	0.150	0.356874002	-0.183	0.480960517
CCND2	9	-0.262	0.24014845	-0.478	0.349662833	-0.571	0.984136346	-0.532	0.741381473
CCND3	9	-0.202	0.895938362	-0.371	0.716743433	-2.617	0.001788785	-1.603	0.102932652
CCNDBP1	10	-0.158	0.682065166	0.116	0.391477543	-0.260	0.49307596	0.036	0.361845363
CCNE1	10	-0.368	0.527556957	-0.128	0.998119372	-0.271	0.352938987	-0.095	0.826828464
CCNE2	10	-0.295	0.314507453	-0.213	0.856679181	0.295	0.31671214	0.163	0.584368382
CCNF	10	-0.903	0.250016475	-1.024	0.519732675	-0.623	0.407710488	-0.581	0.962115758
CCNG1	10	0.100	0.520227358	0.420	0.015501619	-0.034	0.698162327	0.252	0.136353284
CCNG2	9	0.227	0.101362902	0.293	0.266760845	0.258	0.651727435	0.285	0.403827352
CCNH	10	-1.629	0.000719956	-2.539	0.0001968	-1.861	0.000605008	-2.030	0.000514733
CCNI	9	0.217	0.338101141	0.483	0.076859542	-0.024	0.865772018	0.267	0.353146096
CCNI2	9	0.235	0.303880855	-0.204	0.71614641	-0.310	0.876094695	-0.100	0.773134272
CCNJ	10	-0.181	0.684482782	0.346	0.211155448	-0.172	0.876094695	-0.203	0.810302669
CCNJL	9	0.475	0.008243745	0.220	0.172503336	0.092	0.777797432	-0.001	0.962767927
CCNK	8	-1.373	0.06561099	-0.966	0.261101735	-1.479	0.005765208	-1.157	0.046590638
CCNL1	10	-0.855	0.066005462	-0.677	0.204226916	-0.541	0.309847323	0.195	0.890649447
CCNL2	9	-0.413	0.719163528	-0.972	0.069894241	0.366	0.299929427	-0.184	0.73464714
CCNO	10	0.084	0.474523017	0.001	0.482092167	-0.278	0.965494601	0.120	0.376256353
CCNT1	10	-0.944	0.004785115	-0.790	0.126339968	-0.665	0.06888794	-0.555	0.138637442
CCNT2	10	-0.529	0.091878993	-0.387	0.837107608	-0.078	0.964981073	-0.441	0.707132491
CCNY	10	0.474	0.004430204	-0.182	0.894257054	0.640	0.000981716	0.227	0.554582702
CCNYL1	10	0.241	0.523669529	0.544	0.040507244	0.333	0.188731827	0.626	0.029133769
CCP110	9	-0.423	0.38062403	0.170	0.563351497	-0.121	0.829428856	0.241	0.551787074
CCPG1	10	-0.108	0.697367267	0.297	0.22723121	0.105	0.834086856	0.102	0.478492192
CCR1	10	-0.117	0.913848602	-0.245	0.722907922	-0.020	0.405179781	0.152	0.680935713
CCR10	8	-0.821	0.594122988	-1.418	0.581216844	-0.638	0.640708511	-0.714	0.579074409
CCR2	10	-0.248	0.666333773	-0.387	0.295020967	0.050	0.893087207	-0.155	0.957065417
CCR3	8	-0.078	0.830361984	-0.159	0.783558298	-0.365	0.433505088	-0.114	0.980526268
CCR4	10	0.057	0.653864762	-0.063	0.894192287	0.056	0.613385689	-0.024	0.447313264
CCR5	9	-0.148	0.808974086	-0.096	0.837711758	-0.045	0.88793622	0.441	0.151475437
CCR6	10	0.289	0.081183734	0.383	0.071200176	0.521	0.025876372	0.204	0.112139669
CCR7	7	0.067	0.713943338	-0.085	0.847665178	0.334	0.497682562	0.063	0.985534522
CCR8	10	-0.148	0.567625202	0.025	0.911973473	0.125	0.701953845	-0.200	0.575868048
CCR9	10	-0.058	0.513218596	-0.615	0.412310825	0.020	0.70047138	-0.173	0.869507568
CCRL2	10	0.152	0.479519673	-0.191	0.850446571	-0.014	0.82053137	-0.093	0.93893533
CCRN4L	8	-0.545	0.59315265	-1.013	0.609727077	-0.061	0.954025222	0.319	0.211003942
CCS	8	-0.048	0.943014951	-0.661	0.440906247	0.163	0.731876597	0.117	0.874626214
CCSAP	10	0.104	0.346920898	-0.029	0.973478122	-0.019	0.957195076	0.056	0.751210522
CCSER1	10	0.100	0.20295714	0.313	0.085274261	0.021	0.891204664	-0.004	0.999974701
CCSER2	10	-0.430	0.71582936	-0.965	0.583476299	0.083	0.495917463	-0.221	0.934029414
CCT2	10	-3.130	3.40E-05	-3.507	0.000211641	-3.835	1.66E-05	-2.463	7.19E-05
CCT3	10	-3.078	3.40E-05	-3.938	2.69E-05	-3.653	1.40E-05	-2.563	3.13E-05
CCT4	9	-2.855	0.000104516	-2.966	0.004831402	-2.590	0.001711242	-2.054	0.000253623
CCT5	10	-2.346	0.000384186	-3.391	0.000207703	-3.332	2.02E-05	-2.305	2.00E-05
CCT6A	8	-2.873	0.001863884	-2.882	0.006588042	-3.021	0.000322726	-1.773	0.091890376
CCT6B	10	-0.036	0.410809065	0.417	0.220914351	0.089	0.872572276	0.055	0.849717845
CCT7	9	-1.828	0.000821118	-3.072	0.001446186	-3.067	0.000203554	-1.912	0.000248632
CCT8	9	-1.847	0.000302269	-1.748	0.0003317	-2.625	0.000182857	-1.896	0.005208222
CCT8L2	8	-0.006	0.941402689	-1.900	0.002650771	0.235	0.628762952	-0.055	0.940017778
CCZ1	9	0.126	0.350082871	-0.075	0.929300883	0.001	0.889571603	0.120	0.737162752
CCZ1B	9	0.173	0.350082871	-0.364	0.905436965	-0.120	0.840221478	-0.002	0.844708977
CD101	10	-0.014	0.775913914	-0.667	0.468636179	0.126	0.699314698	0.274	0.656554995
CD109	9	0.051	0.473642022	0.105	0.598634074	0.257	0.464391682	-0.157	0.633599805
CD14	9	-0.078	0.997402327	-0.073	0.822099325	0.225	0.720931102	0.211	0.487957957
CD151	10	-0.022	0.808940905	0.020	0.941704646	-0.155	0.921062554	-0.080	0.93993889
CD160	10	0.101	0.63049737	0.097	0.614073579	-0.523	0.718154248	-0.181	0.920793499
CD163	10	-0.138	0.95562423	0.078	0.701379744	0.183	0.575310259	0.411	0.055664716
CD163L1	7	0.156	0.395578397	0.088	0.407681234	0.079	0.804492346	0.151	0.381445089
CD164	9	-0.223	0.86015557	-0.262	0.979993818	0.085	0.726599516	-0.203	0.996683055
CD164L2	9	-0.263	0.268457168	-0.282	0.268009543	-0.055	0.785430997	-0.202	0.938276329
CD180	10	0.289	0.358535238	0.347	0.089659701	0.179	0.551914841	0.235	0.619955395
CD19	9	-0.186	0.778285668	-0.605	0.252086578	-0.762	0.010591677	-1.366	0.014967725
CD1A	10	0.378	0.203360392	0.275	0.353745432	0.164	0.810525389	0.097	0.665272611
CD1B	9	0.253	0.46284087	-0.001	0.695468549	-0.094	0.636600949	0.028	0.844988442
CD1C	9	0.359	0.096181875	0.446	0.099074912	0.421	0.367215574	0.039	0.943276321
CD1D	10	0.110	0.562548818	0.360	0.192469376	0.133	0.416831813	0.244	0.478531775
CD1E	10	0.183	0.208899658	0.554	0.003468928	0.055	0.913047247	0.099	0.88588622
CD2	9	0.253	0.11855931	-0.294	0.566743316	0.108	0.794306416	0.195	0.366719207
CD200	9	0.246	0.55653828	-0.110	0.619782229	0.155	0.828610265	-0.076	0.703170008
CD200R1	10	0.062	0.550714844	0.430	0.184791328	0.378	0.040869718	0.441	0.262539533
CD200R1L	8	-0.053	0.805757983	0.005	0.09590256	0.330	0.500604742	0.158	0.593040372
CD209	9	-0.011	0.958691926	-0.270	0.929300883	0.169	0.825307382	0.263	0.384502453
CD22	9	-0.433	0.82225989	-1.225	0.435503574	-0.343	0.726325984	-0.370	0.95357494
CD226	10	0.165	0.183393323	-0.088	0.683411574	0.210	0.291033217	0.119	0.361650374
CD244	10	-0.082	0.60663222	-0.142	0.922245026	-0.179	0.999981366	-0.561	0.76573916
CD247	10	-0.156	0.976389124	-0.430	0.403127934	-0.177	0.316207399	-0.239	0.665341861
CD248	10	0.066	0.295554577	-0.356	0.483412784	-0.160	0.806868954	-0.063	0.85381535
CD27	8	-0.023	0.738253073	-0.609	0.500941803	0.146	0.78754346	-0.008	0.538629061
CD274	10	0.314	0.356433808	0.155	0.114853317	0.124	0.861807575	0.149	0.424412105
CD276	10	-0.935	0.143553299	-0.953	0.493712294	-0.404	0.729986947	-0.767	0.168209385
CD28	7	0.134	0.690839548	0.249	0.684284534	0.448	0.351728603	0.082	0.969189879
CD2AP	8	0.072	0.498829647	-0.169	0.949484671	-0.490	0.223219779	0.155	0.384502453
CD2BP2	10	-0.526	0.176630238	-0.177	0.296431478	-0.805	0.153215484	-1.041	0.006561831
CD300A	9	0.208	0.117621298	-0.051	0.893529464	0.213	0.358729016	0.253	0.437495813
CD300C	8	0.526	0.004025857	0.387	0.064839619	0.086	0.740410738	0.563	0.061588469
CD300E	9	-0.430	0.939022049	-0.372	0.999354401	-0.356	0.779847414	-0.458	0.962568616
CD300LB	10	-0.102	0.698334838	-0.544	0.515795959	-0.153	0.934747234	-0.394	0.827624721
CD300LD	9	-0.400	0.978963281	-1.231	0.882292164	-0.057	0.9556217	-0.118	0.92246609
CD300LF	9	-0.275	0.178239783	-0.094	0.711468908	0.337	0.108175143	-0.092	0.659848102
CD300LG	7	-0.370	0.341822775	-0.106	0.945042709	-0.388	0.429177802	-0.040	0.858461369
CD302	9	0.147	0.604296314	0.046	0.509393652	-0.166	0.806868954	0.036	0.987920726
CD320	9	-0.231	0.856103294	0.051	0.6815434	0.031	0.749235964	-0.194	0.816438265
CD33	8	0.131	0.634840791	-0.167	0.931982075	-0.060	0.73285832	0.061	0.439249909
CD34	10	0.047	0.484834425	-0.439	0.395507438	0.029	0.868550899	0.041	0.65739343
CD36	10	0.040	0.717201881	0.479	0.046463124	0.211	0.467214037	0.332	0.203437509
CD37	10	-0.020	0.903872828	-0.467	0.585680001	0.277	0.451283281	-0.042	0.937292648
CD38	10	0.197	0.33663381	0.445	0.064431025	-0.005	0.984064345	0.239	0.421675975
CD3D	10	0.135	0.420557465	0.032	0.769198752	0.103	0.544449574	-0.235	0.967758013
CD3E	9	0.173	0.288975048	0.420	0.119176812	0.189	0.787566808	0.005	0.915166004
CD3EAP	8	-1.604	0.011489039	-1.385	0.00520143	-1.511	0.021477212	-0.700	0.345273007
CD3G	10	-0.025	0.700779585	-0.315	0.679410415	-0.052	0.905405097	0.109	0.7058739
CD4	9	-0.278	0.729814028	-0.553	0.410289171	-0.282	0.807185932	-0.100	0.999974701
CD40	9	-0.115	0.971451153	-0.602	0.216254121	-0.050	0.922833384	0.055	0.89695896
CD40LG	9	0.156	0.244547457	0.570	0.0052259	0.118	0.861872532	-0.032	0.93993889
CD44	10	0.271	0.264840768	0.265	0.270828988	0.412	0.21066856	0.439	0.050799742
CD46	10	0.237	0.310685086	0.070	0.599298431	0.340	0.461198281	0.362	0.186665734
CD47	10	-0.055	0.796191391	0.396	0.185392589	0.220	0.371210915	0.282	0.128647037
CD48	10	-0.139	0.977989296	-0.037	0.619701071	0.063	0.862916738	0.026	0.692227989
CD5	9	-0.281	0.358671688	-1.039	0.270828988	-0.311	0.865316505	0.038	0.883671612
CD52	8	-0.040	0.899357599	0.316	0.501688856	-0.144	0.372269937	-0.579	0.198556233
CD53	10	0.134	0.192192788	-0.350	0.550657367	-0.343	0.937836777	-0.065	0.980870365
CD55	10	0.105	0.284773547	0.161	0.206687291	-0.005	0.703885856	0.155	0.888817823
CD58	9	0.036	0.615676435	-0.136	0.87145966	-0.117	0.886002485	-0.033	0.788067731
CD59	8	0.137	0.793635736	0.117	0.475931173	0.126	0.78912377	0.122	0.822119617
CD5L	10	-0.121	0.960067505	-0.161	0.851327175	-0.093	0.982735765	-0.104	0.963831638
CD6	10	-0.302	0.606870756	-1.169	0.115162378	-0.192	0.794970897	-0.336	0.279023668
CD63	10	-0.261	0.74449058	-0.506	0.429624051	-0.078	0.70047138	-0.264	0.701011492
CD68	10	-0.304	0.665907286	-0.581	0.797622678	-0.625	0.866822337	-0.569	0.985558732
CD69	9	0.114	0.502328651	0.425	0.09098776	0.402	0.478801036	-0.214	0.907730562
CD7	9	-0.083	0.495633277	-0.434	0.737517097	-0.231	0.974182721	0.090	0.937621651
CD70	10	0.357	0.042483281	-0.079	0.722240039	-0.056	0.998441202	-0.042	0.946041534
CD72	10	-0.387	0.827257986	-0.890	0.451319195	-0.251	0.958444821	-0.590	0.92459112
CD74	10	-0.402	0.985136382	-0.877	0.66406775	0.152	0.92808564	0.015	0.480127966
CD79A	9	-0.607	0.719163528	-0.276	0.936452347	-0.353	0.865783634	-1.481	0.008703895
CD79B	8	-0.070	0.925066004	-0.359	0.933058024	-0.507	0.300672831	-0.942	0.009365909
CD80	10	-0.081	0.472899557	0.349	0.200613903	0.060	0.94631473	0.134	0.34629398
CD81	9	-0.309	0.945036378	-1.346	0.039854262	-0.447	0.3884027	-0.810	0.2852497
CD82	10	-0.058	0.901788215	-0.476	0.647246909	-0.184	0.703885856	0.036	0.678722786
CD83	10	0.000	0.595532145	-0.205	0.505198269	0.321	0.315654783	0.252	0.21460652
CD84	9	-0.019	0.932518541	0.419	0.117958564	0.213	0.662093062	-0.116	0.997385796
CD86	9	-0.326	0.583105395	-0.285	0.175553333	-0.436	0.893877506	-0.076	0.841784425
CD8A	7	-0.396	0.695516329	-0.721	0.157596811	-0.454	0.723567727	-0.416	0.930884832
CD8B	10	-0.040	0.985749596	-0.032	0.705894812	0.305	0.401873334	-0.043	0.961754883
CD9	10	0.304	0.090623416	0.435	0.04861638	0.472	0.26863815	0.089	0.85381535
CD93	9	0.247	0.034900389	-0.441	0.881731083	0.299	0.282519346	0.191	0.645796088
CD96	9	-0.116	0.808421511	0.140	0.579740424	0.117	0.876679277	0.083	0.908173387
CD97	9	-0.332	0.603236308	-0.778	0.105695279	-0.093	0.686023545	-0.069	0.689877651
CD99	10	0.077	0.494157038	0.153	0.489519955	0.239	0.529888633	0.072	0.290639264
CD99L2	9	0.170	0.624751734	0.071	0.634526783	0.310	0.563223243	0.105	0.450303995
CDA	10	-0.024	0.900111843	0.056	0.629171471	0.134	0.810525389	0.056	0.80775328
CDADC1	10	-0.273	0.768332674	0.095	0.653159593	-0.207	0.888732623	-0.010	0.907330864
CDAN1	10	-2.223	0.000462069	-1.155	0.322950769	-1.811	0.010342059	-1.373	0.078112072
CDC123	9	-2.257	0.005309705	-3.196	0.002127306	-2.281	0.000262847	-2.046	0.000378815
CDC14A	10	-0.316	0.373078883	0.195	0.356782908	0.017	0.819108953	0.026	0.861921716
CDC14B	10	0.384	0.1941448	0.437	0.16423224	-0.009	0.978722243	0.072	0.809268032
CDC16	9	-3.710	3.40E-05	-4.871	4.31E-05	-3.104	3.07E-05	-2.621	0.000323772
CDC20	8	-2.608	9.04E-05	-3.933	0.000752398	-3.322	8.82E-05	-2.012	0.000332424
CDC20B	9	-0.155	0.978200936	-0.247	0.977798154	-0.256	0.692697489	-0.309	0.448754353
CDC23	10	-2.152	3.40E-05	-3.214	0.000507745	-2.335	0.000127978	-1.436	0.002685087
CDC25A	9	-0.450	0.409372963	-0.943	0.142006499	0.019	0.836939537	0.286	0.105089772
CDC25B	9	-0.486	0.85058109	-0.951	0.501688856	-0.335	0.912520246	-0.373	0.538036848
CDC25C	9	-0.144	0.90605269	0.159	0.590733356	0.183	0.611326738	0.493	0.223589302
CDC26	10	-0.989	0.096493135	-2.158	0.050401258	-0.942	0.013852175	-1.236	0.278488199
CDC27	10	-2.055	0.075583572	-3.137	0.131178123	-2.080	0.055076426	-2.119	0.003492766
CDC34	9	-0.181	0.989545872	0.288	0.155136406	-0.082	0.912520246	-0.105	0.962568616
CDC37	10	-1.214	0.103321718	-2.587	0.00245287	-1.703	0.000330959	-1.428	0.001011219
CDC37L1	10	-0.156	0.636224517	0.014	0.266760845	0.037	0.674349245	0.228	0.385495939
CDC40	10	-1.308	0.035847903	-2.764	0.005733629	-1.404	0.010071456	-0.832	0.291697663
CDC42	10	-0.039	0.61391043	0.104	0.538071166	-0.532	0.649633539	-0.398	0.692890863
CDC42BPA	9	0.240	0.254319597	-0.188	0.979006849	0.070	0.965601313	0.179	0.803382453
CDC42BPB	10	0.063	0.448337321	-0.277	0.725098328	0.002	0.886889017	-0.279	0.869507568
CDC42BPG	10	-0.489	0.08846125	-1.090	0.009652412	-0.023	0.871232204	-0.122	0.388999782
CDC42EP1	9	-0.003	0.352346344	0.198	0.53877517	0.141	0.846637186	0.126	0.656554995
CDC42EP2	10	-0.515	0.077832468	-0.736	0.083813402	0.059	0.769089978	-0.443	0.615653803
CDC42EP3	8	-0.052	0.863387456	-0.491	0.25615738	0.006	0.551914841	-0.172	0.738704833
CDC42EP4	8	-1.080	0.875797825	-0.738	0.736613162	-0.552	0.937595085	-0.687	0.628163983
CDC42EP5	10	0.101	0.971348844	-0.371	0.964512378	-0.020	0.813951933	-0.013	0.748209734
CDC42SE1	9	-0.078	0.899963139	0.085	0.704057264	0.181	0.697257837	-0.131	0.897926411
CDC42SE2	10	0.018	0.797173771	0.300	0.178938648	-0.111	0.998626146	0.250	0.223589302
CDC45	9	-3.029	0.000254451	-4.821	4.04E-05	-3.847	1.46E-05	-3.048	3.03E-05
CDC5L	10	-1.965	0.001875889	-2.718	0.000141497	-2.184	9.13E-05	-1.501	0.02356225
CDC6	10	-1.438	0.001061561	-1.634	0.009581414	-2.410	0.013505054	-1.988	0.001980096
CDC7	10	-1.592	0.085572213	-2.502	0.067454755	-2.370	0.001110812	-1.529	0.1383345
CDC73	10	-2.054	4.98E-05	-2.778	0.016693549	-2.997	1.56E-05	-2.503	0.000104423
CDCA2	10	-0.164	0.593739519	0.347	0.251134594	0.173	0.671132692	0.479	0.048442307
CDCA3	9	-0.234	0.303810144	-0.799	0.084749561	-0.096	0.700046709	-0.222	0.705759066
CDCA4	9	-0.482	0.895045838	-0.503	0.858544017	-0.459	0.708392983	-0.284	0.961863338
CDCA5	9	-1.419	0.083660274	-1.793	0.007009866	-1.378	0.003155589	-1.409	0.141449743
CDCA7	10	-0.627	0.174801023	-1.096	0.069281577	0.065	0.607298203	-0.038	0.859615377
CDCA7L	8	-0.223	0.947857167	-0.803	0.907315367	-0.026	0.886002485	-0.249	0.996752571
CDCA8	8	-1.813	0.080042481	-1.538	0.223990284	-2.334	0.020473037	-1.016	0.091890376
CDCP1	10	0.027	0.85058109	-0.760	0.977839508	0.139	0.708630948	0.019	0.969667794
CDCP2	8	0.180	0.231042031	-0.749	0.502906441	-0.044	0.572100723	0.097	0.88588622
CDH1	9	0.076	0.713061157	-0.325	0.800419071	0.137	0.827566684	-0.134	0.539095685
CDH10	10	0.249	0.169383816	0.319	0.189808701	0.299	0.574238861	-0.025	0.581801892
CDH11	10	0.107	0.274709948	-0.006	0.901726612	0.257	0.602973041	-0.259	0.910096025
CDH12	7	-0.003	0.620939124	-0.054	0.889564005	0.354	0.398246855	0.465	0.114680125
CDH13	10	0.240	0.333334733	0.293	0.270828988	0.315	0.232185613	0.222	0.513867948
CDH15	7	0.043	0.824263916	-0.781	0.081506348	-0.020	0.772589899	0.004	0.930644023
CDH16	8	-0.239	0.572907025	-0.372	0.45084395	-0.022	0.648756336	-0.121	0.928041854
CDH17	10	-0.280	0.626810417	0.009	0.897469311	0.388	0.066777784	0.297	0.538363835
CDH18	8	0.219	0.337030878	0.349	0.331681863	0.094	0.842463847	0.106	0.753098826
CDH19	9	0.046	0.664748025	0.415	0.217192479	0.099	0.565557304	0.287	0.377951774
CDH2	10	0.104	0.533436079	-0.238	0.902602695	0.286	0.338976767	0.105	0.740035259
CDH20	9	0.051	0.643162445	0.325	0.304245719	0.171	0.615623189	-0.112	0.996469406
CDH22	7	0.262	0.309644993	0.123	0.679410415	0.134	0.827566684	0.224	0.741774315
CDH23	10	0.026	0.868237218	-0.475	0.757946718	0.196	0.773114292	-0.074	0.996676083
CDH24	10	-1.153	0.260197007	-2.462	0.020098681	-1.341	0.210573924	-0.949	0.720710636
CDH26	10	0.192	0.216031615	-0.046	0.19340612	-0.042	0.801349999	-0.155	0.988327481
CDH3	9	-0.350	0.954835824	-1.156	0.589670405	-0.496	0.69250791	-0.654	0.968238553
CDH4	10	0.029	0.44580928	-0.031	0.737658634	0.211	0.606871226	0.461	0.056465436
CDH5	10	0.062	0.636224517	-0.240	0.999690568	-0.114	0.965664238	-0.117	0.958986364
CDH6	9	0.044	0.503035375	-0.051	0.788867074	0.230	0.596628489	0.257	0.354431102
CDH7	10	0.086	0.250231345	0.187	0.173926178	0.152	0.856570389	0.032	0.822829631
CDH8	8	0.058	0.703347177	0.225	0.388227821	0.038	0.958027243	0.189	0.884644534
CDH9	10	0.232	0.166118287	0.309	0.166490042	0.199	0.776770966	0.221	0.253204729
CDHR1	10	0.120	0.341879216	-0.755	0.390029527	0.211	0.520330144	0.183	0.437128076
CDHR2	10	-0.124	0.697056271	-0.476	0.966384512	-0.283	0.941088066	-0.241	0.927264662
CDHR3	9	-0.159	0.965232897	-0.575	0.630243591	0.217	0.717165985	-0.204	0.748314983
CDHR4	10	-0.394	0.997711836	-0.192	0.54417279	-0.181	0.994073369	-0.432	0.987536446
CDHR5	10	0.245	0.215343429	-0.017	0.621144185	0.220	0.628052912	-0.155	0.7325033
CDIP1	9	-0.304	0.596440646	-0.321	0.994967661	0.171	0.386515639	-0.043	0.998844103
CDIPT	10	-3.022	0.000133939	-4.135	8.66E-05	-2.000	9.48E-05	-0.977	0.000843432
CDK1	10	-1.913	0.016020082	-3.655	0.00112142	-1.923	0.000174122	-2.266	0.000769116
CDK10	9	-0.664	0.788570632	-0.491	0.91757189	0.030	0.889571603	-0.023	0.324516431
CDK11A	7	-0.791	0.430748582	-0.646	0.685590591	-0.354	0.848918412	-0.408	0.528506863
CDK12	10	-1.190	0.01901701	-1.020	0.540707469	-0.522	0.063715374	-0.996	0.053473992
CDK13	9	-1.508	0.033571025	-1.042	0.735235893	-1.230	0.001043728	-0.946	0.11665863
CDK14	10	0.103	0.447718211	0.410	0.056452187	0.077	0.856570389	-0.117	0.95480959
CDK15	10	-0.252	0.690552394	0.099	0.57614063	0.090	0.543028256	0.297	0.482848393
CDK16	10	0.081	0.447067375	0.251	0.345789247	0.224	0.283987075	0.130	0.673476714
CDK17	10	0.478	0.009848069	-0.014	0.716322564	0.398	0.117717671	0.334	0.422554795
CDK18	9	-0.258	0.756750144	-1.047	0.78789231	-0.059	0.869065602	-0.264	0.872366752
CDK19	8	0.103	0.574800907	0.096	0.797754093	0.039	0.770169329	0.054	0.83956654
CDK2	10	-0.885	0.005669862	-0.653	0.280682019	-0.318	0.958650536	-0.476	0.250276756
CDK20	10	-0.058	0.722473832	0.055	0.580500199	-0.050	0.968423625	-0.018	0.800737078
CDK2AP1	9	-0.009	0.642189841	-0.119	0.909379283	-0.215	0.886889017	-0.056	0.858023222
CDK2AP2	9	-0.374	0.44580928	-1.327	0.203616605	-0.692	0.974568632	-0.540	0.651366137
