libraryName	minReads	timepoint	guideCountPass	modFreq	wang	wuCrispr	chariRaw	wangOrig	finalGg	crisprScan	finalGc6	chariRank	doench	drsc	ssc	fusi
hart2016-HelaLib1	100	T12A	4018	1.000	0.243	nan	0.152	0.237	0.080	0.104	0.069	0.150	0.170	0.013	0.190	0.254
hart2016-HelaLib1	100	T18B	4018	1.000	0.232	nan	0.126	0.235	0.044	0.096	0.044	0.124	0.160	-0.001	0.168	0.243
hart2016-HelaLib1	100	T18C	4018	1.000	0.253	nan	0.133	0.252	0.074	0.116	0.041	0.130	0.170	0.004	0.196	0.243
hart2016-HelaLib1	300	Avg	2784	1.000	0.338	nan	0.188	0.329	0.115	0.147	0.109	0.189	0.236	0.015	0.280	0.331
hart2016-HelaLib1	300	T15C	2784	1.000	0.264	nan	0.151	0.258	0.092	0.124	0.068	0.154	0.200	0.000	0.214	0.258
hart2016-HelaLib1	300	T15A	2784	1.000	0.257	nan	0.152	0.250	0.095	0.106	0.084	0.154	0.178	0.009	0.210	0.253
hart2016-HelaLib1	300	T15B	2784	1.000	0.236	nan	0.123	0.231	0.055	0.097	0.071	0.124	0.157	0.012	0.187	0.232
hart2016-HelaLib1	300	T08A	2784	1.000	0.270	nan	0.153	0.264	0.106	0.125	0.113	0.154	0.164	0.019	0.235	0.262
hart2016-HelaLib1	300	T08B	2784	1.000	0.227	nan	0.125	0.217	0.090	0.116	0.106	0.125	0.177	0.012	0.206	0.239
hart2016-HelaLib1	300	T08C	2784	1.000	0.245	nan	0.113	0.239	0.088	0.096	0.073	0.109	0.180	0.007	0.203	0.232
hart2016-HelaLib1	300	T18A	2784	1.000	0.258	nan	0.154	0.251	0.095	0.106	0.081	0.156	0.179	0.009	0.210	0.255
hart2016-HelaLib1	300	T12C	2784	1.000	0.273	nan	0.148	0.267	0.101	0.113	0.094	0.147	0.177	0.008	0.215	0.259
hart2016-HelaLib1	300	T12B	2784	1.000	0.265	nan	0.142	0.257	0.092	0.116	0.071	0.144	0.189	0.035	0.244	0.268
hart2016-HelaLib1	300	T12A	2784	1.000	0.256	nan	0.158	0.250	0.084	0.113	0.084	0.158	0.166	0.015	0.205	0.245
hart2016-HelaLib1	300	T18B	2784	1.000	0.235	nan	0.122	0.230	0.053	0.095	0.071	0.123	0.158	0.011	0.185	0.230
hart2016-HelaLib1	300	T18C	2784	1.000	0.264	nan	0.151	0.258	0.092	0.124	0.068	0.154	0.200	0.000	0.214	0.258
hart2016-HelaLib2	0	Avg	3845	1.000	0.343	nan	0.181	0.346	0.098	0.172	0.100	0.169	0.221	0.053	0.267	0.345
hart2016-HelaLib2	0	T15C	3845	1.000	0.288	nan	0.141	0.290	0.069	0.132	0.081	0.133	0.178	0.045	0.221	0.289
hart2016-HelaLib2	0	T15A	3845	1.000	0.270	nan	0.135	0.273	0.086	0.138	0.081	0.128	0.175	0.028	0.208	0.293
hart2016-HelaLib2	0	T15B	3845	1.000	0.286	nan	0.145	0.288	0.062	0.150	0.081	0.136	0.171	0.050	0.214	0.278
hart2016-HelaLib2	0	T08A	3845	1.000	0.282	nan	0.166	0.280	0.099	0.145	0.071	0.158	0.186	0.039	0.230	0.269
hart2016-HelaLib2	0	T08B	3845	1.000	0.268	nan	0.161	0.271	0.081	0.129	0.087	0.148	0.188	0.048	0.218	0.268
hart2016-HelaLib2	0	T08C	3845	1.000	0.245	nan	0.127	0.248	0.099	0.143	0.096	0.117	0.160	0.064	0.202	0.232
hart2016-HelaLib2	0	T18A	3845	1.000	0.283	nan	0.155	0.287	0.072	0.132	0.072	0.142	0.186	0.036	0.220	0.294
hart2016-HelaLib2	0	T12C	3845	1.000	0.294	nan	0.162	0.294	0.091	0.153	0.088	0.149	0.186	0.047	0.232	0.286
hart2016-HelaLib2	0	T12B	3845	1.000	0.290	nan	0.152	0.293	0.091	0.146	0.081	0.137	0.188	0.030	0.223	0.292
hart2016-HelaLib2	0	T12A	3845	1.000	0.282	nan	0.155	0.284	0.081	0.146	0.084	0.146	0.167	0.024	0.229	0.285
hart2016-HelaLib2	0	T18B	3845	1.000	0.269	nan	0.130	0.273	0.062	0.137	0.083	0.121	0.189	0.047	0.191	0.285
hart2016-HelaLib2	0	T18C	3845	1.000	0.295	nan	0.150	0.301	0.073	0.127	0.075	0.141	0.185	0.057	0.225	0.300
hart2016-HelaLib2	100	Avg	3466	1.000	0.352	nan	0.183	0.354	0.103	0.184	0.112	0.170	0.224	0.052	0.271	0.351
hart2016-HelaLib2	100	T15C	3466	1.000	0.299	nan	0.150	0.300	0.074	0.143	0.095	0.142	0.183	0.043	0.228	0.299
hart2016-HelaLib2	100	T15A	3466	1.000	0.288	nan	0.138	0.290	0.095	0.149	0.096	0.131	0.178	0.035	0.216	0.299
hart2016-HelaLib2	100	T15B	3466	1.000	0.294	nan	0.141	0.295	0.062	0.163	0.096	0.131	0.174	0.046	0.218	0.281
hart2016-HelaLib2	100	T08A	3466	1.000	0.293	nan	0.172	0.291	0.116	0.165	0.090	0.163	0.192	0.040	0.236	0.279
hart2016-HelaLib2	100	T08B	3466	1.000	0.289	nan	0.179	0.291	0.098	0.146	0.099	0.163	0.205	0.055	0.238	0.293
hart2016-HelaLib2	100	T08C	3466	1.000	0.255	nan	0.125	0.258	0.095	0.148	0.103	0.114	0.168	0.065	0.204	0.238
hart2016-HelaLib2	100	T18A	3466	1.000	0.291	nan	0.154	0.292	0.079	0.141	0.082	0.141	0.187	0.043	0.224	0.295
hart2016-HelaLib2	100	T12C	3466	1.000	0.300	nan	0.164	0.298	0.095	0.166	0.090	0.151	0.192	0.040	0.237	0.296
hart2016-HelaLib2	100	T12B	3466	1.000	0.301	nan	0.158	0.304	0.092	0.157	0.092	0.141	0.191	0.027	0.228	0.294
hart2016-HelaLib2	100	T12A	3466	1.000	0.293	nan	0.153	0.295	0.085	0.162	0.095	0.144	0.172	0.026	0.235	0.293
hart2016-HelaLib2	100	T18B	3466	1.000	0.278	nan	0.133	0.279	0.065	0.148	0.088	0.124	0.195	0.043	0.195	0.292
hart2016-HelaLib2	100	T18C	3466	1.000	0.304	nan	0.152	0.308	0.078	0.136	0.084	0.143	0.183	0.050	0.226	0.305
hart2016-HelaLib2	300	Avg	2169	1.000	0.350	nan	0.168	0.348	0.092	0.185	0.126	0.161	0.201	0.067	0.275	0.362
hart2016-HelaLib2	300	T15C	2169	1.000	0.299	nan	0.142	0.299	0.078	0.149	0.103	0.136	0.187	0.059	0.230	0.321
hart2016-HelaLib2	300	T15A	2169	1.000	0.289	nan	0.133	0.287	0.088	0.153	0.107	0.127	0.156	0.067	0.216	0.308
hart2016-HelaLib2	300	T15B	2169	1.000	0.292	nan	0.134	0.290	0.062	0.169	0.106	0.128	0.167	0.060	0.233	0.300
hart2016-HelaLib2	300	T08A	2169	1.000	0.308	nan	0.170	0.302	0.101	0.159	0.096	0.164	0.163	0.060	0.251	0.295
hart2016-HelaLib2	300	T08B	2169	1.000	0.296	nan	0.163	0.296	0.071	0.139	0.114	0.154	0.191	0.063	0.245	0.307
hart2016-HelaLib2	300	T08C	2169	1.000	0.256	nan	0.098	0.259	0.087	0.145	0.128	0.093	0.168	0.067	0.211	0.270
hart2016-HelaLib2	300	T18A	2169	1.000	0.292	nan	0.149	0.287	0.073	0.143	0.098	0.141	0.167	0.059	0.222	0.309
hart2016-HelaLib2	300	T12C	2169	1.000	0.305	nan	0.148	0.302	0.074	0.165	0.088	0.139	0.180	0.042	0.253	0.316
hart2016-HelaLib2	300	T12B	2169	1.000	0.310	nan	0.152	0.306	0.079	0.172	0.117	0.144	0.170	0.034	0.245	0.305
hart2016-HelaLib2	300	T12A	2169	1.000	0.315	nan	0.162	0.311	0.088	0.187	0.121	0.153	0.150	0.040	0.255	0.316
hart2016-HelaLib2	300	T18B	2169	1.000	0.286	nan	0.127	0.286	0.062	0.158	0.107	0.126	0.178	0.063	0.206	0.302
hart2016-HelaLib2	300	T18C	2169	1.000	0.312	nan	0.141	0.312	0.077	0.140	0.094	0.134	0.168	0.066	0.237	0.318
hart2016-Rpe1	0	Avg	4214	1.000	0.242	nan	0.152	0.243	0.061	0.087	0.038	0.152	0.168	0.017	0.203	0.284
hart2016-Rpe1	0	T15B	4214	1.000	0.213	nan	0.139	0.215	0.052	0.080	0.028	0.140	0.152	0.014	0.170	0.236
hart2016-Rpe1	0	T09B	4214	1.000	0.220	nan	0.142	0.216	0.057	0.086	0.042	0.141	0.152	0.018	0.199	0.246
hart2016-Rpe1	0	T09A	4214	1.000	0.214	nan	0.126	0.213	0.064	0.067	0.043	0.124	0.147	0.005	0.177	0.248
hart2016-Rpe1	0	T15A	4214	1.000	0.196	nan	0.114	0.200	0.052	0.070	0.022	0.115	0.117	-0.005	0.161	0.242
hart2016-Rpe1	0	T18A	4214	1.000	0.188	nan	0.109	0.192	0.037	0.065	0.022	0.109	0.123	0.014	0.149	0.226
hart2016-Rpe1	0	T12B	4214	1.000	0.226	nan	0.157	0.224	0.060	0.080	0.038	0.158	0.170	0.030	0.199	0.265
hart2016-Rpe1	0	T12A	4214	1.000	0.211	nan	0.124	0.217	0.063	0.077	0.032	0.123	0.145	0.008	0.178	0.255
hart2016-Rpe1	0	T18B	4214	1.000	0.191	nan	0.130	0.193	0.040	0.070	0.036	0.132	0.147	0.034	0.160	0.228
hart2016-Rpe1	100	Avg	4089	1.000	0.251	nan	0.158	0.252	0.064	0.090	0.051	0.158	0.171	0.021	0.205	0.283
hart2016-Rpe1	100	T15B	4089	1.000	0.219	nan	0.146	0.221	0.054	0.082	0.041	0.146	0.158	0.020	0.174	0.237
hart2016-Rpe1	100	T09B	4089	1.000	0.228	nan	0.149	0.223	0.060	0.089	0.054	0.148	0.158	0.022	0.202	0.246
hart2016-Rpe1	100	T09A	4089	1.000	0.225	nan	0.133	0.224	0.070	0.072	0.057	0.131	0.150	0.009	0.181	0.250
hart2016-Rpe1	100	T15A	4089	1.000	0.205	nan	0.120	0.209	0.055	0.076	0.030	0.121	0.119	-0.002	0.164	0.239
hart2016-Rpe1	100	T18A	4089	1.000	0.197	nan	0.114	0.200	0.037	0.069	0.032	0.114	0.126	0.017	0.151	0.224
hart2016-Rpe1	100	T12B	4089	1.000	0.232	nan	0.164	0.230	0.062	0.082	0.051	0.164	0.172	0.034	0.201	0.264
hart2016-Rpe1	100	T12A	4089	1.000	0.220	nan	0.129	0.225	0.063	0.079	0.041	0.128	0.147	0.008	0.178	0.253
hart2016-Rpe1	100	T18B	4089	1.000	0.194	nan	0.132	0.197	0.040	0.069	0.047	0.133	0.147	0.039	0.160	0.225
hart2016-Rpe1	300	Avg	3536	1.000	0.266	nan	0.165	0.263	0.064	0.086	0.078	0.164	0.178	0.025	0.208	0.284
hart2016-Rpe1	300	T15B	3536	1.000	0.230	nan	0.148	0.228	0.050	0.083	0.065	0.148	0.163	0.030	0.174	0.236
hart2016-Rpe1	300	T09B	3536	1.000	0.243	nan	0.159	0.235	0.061	0.085	0.080	0.157	0.165	0.020	0.207	0.251
hart2016-Rpe1	300	T09A	3536	1.000	0.244	nan	0.139	0.240	0.074	0.070	0.077	0.135	0.153	0.013	0.186	0.249
hart2016-Rpe1	300	T15A	3536	1.000	0.218	nan	0.125	0.218	0.054	0.069	0.050	0.125	0.130	-0.001	0.166	0.244
hart2016-Rpe1	300	T18A	3536	1.000	0.207	nan	0.121	0.207	0.037	0.070	0.052	0.120	0.128	0.023	0.150	0.226
hart2016-Rpe1	300	T12B	3536	1.000	0.250	nan	0.173	0.243	0.063	0.074	0.077	0.170	0.182	0.035	0.204	0.267
hart2016-Rpe1	300	T12A	3536	1.000	0.236	nan	0.136	0.236	0.067	0.075	0.069	0.134	0.153	0.012	0.181	0.253
hart2016-Rpe1	300	T18B	3536	1.000	0.206	nan	0.138	0.205	0.042	0.065	0.072	0.138	0.154	0.040	0.165	0.225
