#Supplementary Data 13 - Total mutation rates observed in K562 with Cas9Sp nuclease				
#Gene	K562 (Control#1)	K562 (CAS9 + gRNA library only)	K562 (Control) - Read Count	K562 (Cas9 + gRNA library only) - Read Count
HSP90AA1_chr14_102605639	0	0.382592061	802	2091
HTR1A_chr5_63257467	0	0.038528222	4189	10382
HTR1B_chr6_78172869	0	0.787401575	244	1016
HTR1D_chr1_23520255	0	0	1013	2367
HTR1F_chr3_88040033	0	0	734	3149
HTR2A_chr13_47466600	0	0	427	1088
HTR2B_chr2_231973894	0	0	67	145
HTR2C_chrX_113965751	0	0.054995417	2037	5455
HTR3A_chr11_113848601	0	0.063371356	3048	9468
HTR3C_chr3_183774667	0	0.058326043	1877	6858
HTR3D_chr3_183753837	0	0.188146754	323	1063
HTR3E_chr3_183818352	0	0.109289617	628	1830
HTR4_chr5_147928268	0	0.040230656	2355	7457
HTR5A_chr7_154862951	0	5.842062853	740	2482
HTR6_chr1_19992374	0	0.482600965	1310	3937
HTR7_chr10_92617199	0	0	1637	3637
IDH1_chr2_209113106	0	0.065735415	2840	6085
IDH2_chr15_90634851	0	0.51203277	339	1953
IFNAR1_chr21_34697372	0	0.063191153	1014	3165
IFNAR2_chr21_34619114	0	0.179533214	685	1671
IFNGR1_chr6_137528156	0	0	120	960
IFNGR2_chr21_34787226	0	0	1204	3029
IGF1R_chr15_99250799	0	0.355998576	1151	2809
IKZF1_chr7_50367244	0	0.123881624	2244	7265
IL10RA_chr11_117859193	0	0.239520958	622	835
IL11RA_chr9_34656739	0	0	731	1608
IL13RA1_chrX_117880926	0	0	808	2107
IL13RA2_chrX_114244192	0	0.136588697	1514	5857
IL15RA_chr10_6008256	0	0.052513128	5098	13330
IL17RA_chr22_17566061	0	0.17601988	2500	9658
IL17RB_chr3_53890974	0	0	963	2845
IL17RC_chr3_9962206	0	0	1238	3732
IL17RD_chr3_57199275	0.109051254	0.148930409	2751	7386
IL17RE_chr3_9948671	0	0	1087	1769
IL18R1_chr2_102992402	0.02607222	0.128205128	7671	22620
IL18RAP_chr2_103040430	0	0.205549846	943	2919
IL1R1_chr2_102781663	0	0	250	176
IL1R2_chr2_102626054	0	0.050184008	1880	5978
IL1RAP_chr3_190322080	0	1.501501502	208	999
IL1RAPL2_chrX_104440251	0	0.083892617	1129	3576
IL1RL1_chr2_102955369	0	0.156739812	2480	7656
IL20RB_chr3_136701106	0	0	1399	4566
IL21R_chr16_27445693	0	0.074217011	3023	6737
IL22RA1_chr1_24465094	0	0.191877199	1312	3127
IL2RA_chr10_6067815	0	0	594	2207
IL2RG_chrX_70331295	0	0	383	1040
IL4R_chr16_27353487	0	0	908	2433
IL5RA_chr3_3133908	0	0.139508929	4149	10752
IL6R_chr1_154407058	0	0.081284292	1772	4921
IL6ST_chr5_55250639	0	0	33	45
INSR_chr19_7267659	0	0.214067278	2361	6540
INSRR_chr1_156823971	0	0.107952501	758	2779
IRF4_chr6_393234	0	0	1053	2874
ITK_chr5_156649936	0	0.028145229	1959	7106
ITPR1_chr3_4558211	0	0.067811935	1711	4424
ITPR2_chr12_26868276	0	0	376	1283
JAK1_chr1_65349035	0	0.1764187	815	3401
JAK2_chr9_5050686	0	0.169204738	770	1182
JAK3_chr19_17955163	0	0.12913027	4087	13165
JAZF1_chr7_27934958	0	0.141517778	1694	5653
JUN_chr1_59248672	0	0	141	836
KAT6B_chr10_76603112	0	0	780	1940
KCNA1_chr12_5021146	0	0.171191	1386	4089
KCNA10_chr1_111061254	0	0.155936734	2595	4489
KCNA2_chr1_111146773	0	0.169923534	1790	3531
KCNA3_chr1_111217259	0	0.043757293	2579	6856
KCNA4_chr11_30033697	0	0.50057759	1549	5194
KCNA5_chr12_5153344	0.512820513	0.114285714	780	1750
KCNA6_chr12_4919213	0	0	187	320
KCNA7_chr19_49575785	0	0.035130862	4341	11386
KCNAB1_chr3_156009801	0	0.69787729	1058	3439
KCNAB2_chr1_6111607	0.051413882	0.07726184	3890	12943
KCNAB3_chr17_7832709	0	0	1512	4639
KCNB1_chr20_48098992	0	0	695	1618
KCNB2_chr8_73479985	0	0.159872102	1359	2502
KCNC1_chr11_17757555	0	0.390815828	1803	6141
KCNC2_chr12_75601456	0	0.320855615	433	1870
KCNC4_chr1_110754776	0	0	103	500
KCND1_chrX_48826293	0	0.043144361	4727	11589
KCND2_chr7_119914717	0	0.072720662	3104	11001
KCND3_chr1_112525066	0.242718447	0.353798127	2060	4805
KCNE1_chr21_35821905	0	0	3850	11378
KCNE1L_chrX_108868186	0	0	846	1851
KCNE3_chr11_74168576	0	0	128	993
KCNE4_chr2_223917928	0	0.170068027	5814	15876
KCNF1_chr2_11052643	0	0	1462	2750
KCNG1_chr20_49626750	0	0.221116639	1694	3618
KCNG2_chr18_77623892	0	0.650154799	985	3230
KCNG3_chr2_42720567	0	0.139303483	1654	5025
KCNG4_chr16_84270956	0	0.229696473	1784	6095
KCNH1_chr1_211192482	0	0	544	1185
KCNH2_chr7_150672006	0	0	813	2782
KCNH3_chr12_49933248	0	0.202347228	1315	2471
KCNH4_chr17_40332939	0	0.064027318	3264	9371
KCNH5_chr14_63453877	0	0	273	856
KCNH6_chr17_61601636	0	0.097869891	6107	17370
KCNH7_chr2_163374306	0	0.103765194	2940	6746
KCNH8_chr3_19389364	0	0.248508946	1766	4024
KCNJ1_chr11_128712280	0	0	338	1403
KCNJ10_chr1_160012070	0	0.244064788	2023	4507
KCNJ11_chr11_17409608	0	0.461538462	1005	3250
KCNJ12_chr17_21318738	0	0.372285419	1674	4835
KCNJ13_chr2_233635910	0	0.664451827	92	301
KCNJ14_chr19_48965061	0	0.433078985	1906	4849
KCNJ15_chr21_39671386	0	0.280426248	1649	1783
KCNJ16_chr17_68128764	0	0.19741565	2266	5572
KCNJ2_chr17_68171534	0	0.32388664	592	1235
KCNJ3_chr2_155555402	0.11269722	0.399896801	2662	7752
KCNJ4_chr22_38824115	0	0.641025641	420	1560
KCNJ5_chr11_128781276	0	0	2046	5884
KCNJ6_chr21_39087317	0	0.214285714	2131	5600
KCNJ9_chr1_160053937	0	0.175310446	2164	6845
KCNK1_chr1_233750169	0	0	4272	11159
KCNK12_chr2_47797356	0	0	562	1517
KCNK13_chr14_90528597	0	0.03703018	2020	5401
KCNK15_chr20_43374676	0	0	1479	3204
KCNK17_chr6_39282072	0	0.187529301	771	2133
KCNK2_chr1_215256735	0	0.245672808	3644	8955
KCNK3_chr2_26915749	0	0	817	1776
KCNK4_chr11_64060637	0	0	1186	3282
KCNK6_chr19_38810619	0	0	1448	2860
KCNK7_chr11_65363212	0	0.079399451	5463	13854
KCNK9_chr8_140715142	0	0.11090573	1400	5410
KCNMA1_chr10_79397184	0	0	198	1139
KCNMB1_chr5_169810731	0	0.051581843	1688	5816
KCNMB2_chr3_178525211	0	0.115913231	2418	6039
KCNMB4_chr12_70760526	0	0.112071726	2023	6246
KCNN1_chr19_18084757	0	0.070422535	831	2840
KCNN2_chr5_113698509	0	0.255204835	2696	7445
KCNN3_chr1_154842175	0	0.413075992	4318	14041
KCNN4_chr19_44284956	0	0.122007015	2247	6557
KCNQ1_chr11_2466578	0.18957346	0.332640333	1055	2405
KCNQ2_chr20_62103794	0	0.243690165	1366	5745
KCNQ3_chr8_133492651	0	0.182168881	3727	9332
KCNQ4_chr1_41249989	0	0.135135135	2350	5180
KCNQ5_chr6_73332072	0	0.066379024	884	3013
KCNS1_chr20_43727301	0	0.175965221	3199	9661
KCNS2_chr8_99440255	0	0.147396004	2469	6106
KCNS3_chr2_18112557	0	0.394190871	996	4820
KCNT1_chr9_138641962	0	0	123	345
KCNU1_chr8_36644831	0	0.160462131	916	3116
KCNV1_chr8_110986482	0	0.066254417	2931	9056
KCNV2_chr9_2718138	0	0.107227107	4130	9326
KDM5C_chrX_53254043	0	0.406504065	290	738
KDR_chr4_55976840	0	0.348735833	421	1147
KDSR_chr18_61018219	0	0.108822386	4533	12865
KIAA1549_chr7_138603924	0	0.065800296	2104	6079
KIF5B_chr10_32344808	0	0.558347292	732	1791
KISS1R_chr19_917510	0	0.262209112	2601	6102
KIT_chr4_55524226	0	0.089405454	548	2237
KLF4_chr9_110250417	0	0.078235018	3029	6391
KLF6_chr10_3827148	0	0.198925801	1662	5027
KMT2A_chr11_118342382	0	0	582	2446
KMT2C_chr7_151949066	0	0.265472042	4114	12054
KMT2D_chr12_49448505	0	0.215796288	632	2317
KTN1_chr14_56078990	0	0	1044	1447
LASP1_chr17_37026448	0	0	2487	6568
LCK_chr1_32740368	0	0.210637177	366	1899
LCP1_chr13_46730610	0	0.683760684	119	585
LEPR_chr1_66067592	0	0	526	543
LGR4_chr11_27390632	0	0.174226868	6004	16071
LGR5_chr12_71833969	0	0	1665	3556
LGR6_chr1_202245609	0	0.231303007	1245	2594
LHCGR_chr2_48982692	0	0.115240565	1190	3471
LHFP_chr13_39918156	0	0.439518441	2017	5233
LIFR_chr5_38527372	0	0.414173953	870	2173
LMO1_chr11_8251839	0	0.141843972	700	2820
LMO2_chr11_33891069	0	0.108991826	877	1835
LPAR1_chr9_113704141	0	0.221893491	1343	5408
LPAR2_chr19_19738053	0	0	345	726
LPAR3_chr1_85331159	0	0.547645126	98	913
LPAR4_chrX_78010794	0	0.200208217	4446	12487
LPAR5_chr12_6730060	0	0.246153846	1473	4875
LPAR6_chr13_48986120	0	0.331308669	1157	1811
LPHN1_chr19_14288529	0	0.092011711	3660	11955
LPHN2_chr1_82372763	0	0.12409514	2763	9670
LPHN3_chr4_62542587	0	0.216567407	584	1847
LPP_chr3_188327092	0	0	1159	4383
LRIG3_chr12_59313983	0	0.53285968	1439	4504
LTB4R_chr14_24784882	0	0	660	2665
LTB4R2_chr14_24780086	0	0.276243094	949	3258
LTBR_chr12_6493757	0	0.250234595	904	3197
LTK_chr15_41804978	0	0.240798074	882	2907
LYL1_chr19_13211504	0.071123755	0.138941518	2812	7917
MAF_chr16_79633672	0.115141048	0.403700589	1737	5945
MAFB_chr20_39317247	0	0.066239788	957	4529
MALT1_chr18_56338881	0	0	1305	3515
MAP2K1_chr15_66679728	0	0.442804428	389	1355
MAS1_chr6_160328055	0	0	52	82
MAS1L_chr6_29455352	0	0.022351363	3400	8948
MAX_chr14_65569033	0	0.064989323	4188	10771
MC1R_chr16_89985845	0	0.239869785	4003	11673
MC2R_chr18_13885445	0	0.072992701	1922	5480
MC3R_chr20_54824354	0	0.225784601	1318	4429
MC5R_chr18_13826208	0	0.10679482	4759	14982
MCHR1_chr22_41075540	0	0.059004012	2958	8474
MCOLN1_chr19_7589969	0	0.163198694	4900	14706
MDM2_chr12_69210609	0	0	1688	3587
MDM4_chr1_204518417	0	0	164	696
MED12_chrX_70338618	0	0	310	1302
MEN1_chr11_64577524	0	0.108030248	1053	2777
MERTK_chr2_112705095	0	0.972590628	541	1131
MET_chr7_116339261	0	0.198807157	997	2515
MIP_chr12_56847517	0	0	434	511
MITF_chr3_69788756	0	0.124626122	4404	12036
MKL1_chr22_40827449	0	0	454	699
MLF1_chr3_158315943	0	0.113862795	2374	7026
MLH1_chr3_37035043	0	0.063572791	1607	4719
MLLT1_chr19_6270744	0	0	2906	8306
MLLT10_chr10_21823582	0	0.365607665	3732	7932
MLLT3_chr9_20620709	0	0.129886998	3418	7699
MLLT4_chr6_168265332	0	0.069236095	1557	4333
MLLT6_chr17_36861960	0	0	1131	4022
MN1_chr22_28196452	0	0.15417823	1062	3243
MNX1_chr7_156803012	0	0	12	192
MPL_chr1_43804266	0	0.216606498	1345	4155
MRGPRD_chr11_68748405	0	0.337078652	558	890
MRGPRE_chr11_3249983	0	0.873907615	261	801
MRGPRG_chr11_3239952	0	0.286532951	1001	2443
MRGPRX1_chr11_18956076	0	0.234283483	1302	2561
MRGPRX2_chr11_19076977	0	1.685393258	72	178
MRGPRX4_chr11_18195076	0	0.019688915	3584	10158
MSH2_chr2_47630381	0	0.243777265	2258	7794
MSI2_chr17_55334143	0	0.368271955	1174	3530
MST1R_chr3_49940851	0	0	835	2042
MTCP1_chrX_154294216	0	0.100987433	2373	8912
MTNR1A_chr4_187455655	0	0	528	1711
MTNR1B_chr11_92702908	0	0.117878193	1944	5090
MUC1_chr1_155160211	0	0.050505051	2863	9900
MUSK_chr9_113449402	0	0.254452926	355	786
MUTYH_chr1_45799166	0	0	427	1406
MYC_chr8_128750541	0	0	419	996
MYCL_chr1_40366915	0	0	740	1782
MYCN_chr2_16082240	0	0	2276	6402
MYD88_chr3_38180284	0	0.679655641	859	2207
MYH9_chr22_36744960	0	0.087815587	3275	9110
NACA_chr12_57114004	0	0.623700624	1510	4810
NBN_chr8_90982670	0	0.129198966	1069	3096
NCKIPSD_chr3_48723182	0	0.219629375	1914	7285
NCOA1_chr2_24881555	0	0.550161812	726	3090
NCOA2_chr8_71078955	0	0.122833356	2739	7327
NDRG1_chr8_134260992	0	0	1758	4828
NF1_chr17_29422357	0	0.148662042	2203	6054
NF2_chr22_30000040	0	0.141103429	2327	7087
NFE2L2_chr2_178098916	0	0.445434298	266	898
NFIB_chr9_14307457	0	0.426959439	1057	3279
NFKB2_chr10_104156210	0	0	265	853
NGFR_chr17_47583701	0	0.123436471	3144	12152
NIN_chr14_51239774	0	0.108636611	334	1841
NMBR_chr6_142409740	0	0.032976092	3570	12130
NMUR1_chr2_232393441	0	0.094966762	797	2106
NMUR2_chr5_151784331	0	0.42544771	4564	10107
NOTCH1_chr9_139417445	0	1.073619632	581	2608
NOTCH2_chr1_120512279	0	0.192529842	908	2597
NPBWR1_chr8_53852538	0	0	402	1205
NPBWR2_chr20_62737969	0	0.798035605	566	1629
NPFFR1_chr10_72025939	0	0.298889838	2290	9368
NPFFR2_chr4_72897624	0	0	3861	11106
NPSR1_chr7_34698049	0.143884892	0.208913649	1390	4308
NPY1R_chr4_164247267	0	0	2161	5527
NPY4R_chr10_47086924	0	0.058565154	1442	3415
NPY5R_chr4_164272402	0	0.305623472	434	1636
NR0B1_chrX_30327177	0	0.418555982	652	2867
NR0B2_chr1_27240306	0	0.120637656	4375	11605
NR1D1_chr17_38253452	0	0.118906064	6392	17661
NR1H2_chr19_50881508	0	0.081782866	1573	4891
NR1H3_chr11_47282010	0	0.051482702	3233	9712
NR1H4_chr12_100934536	0	0	587	2286
NR1I2_chr3_119528910	0	0.475543478	319	1472
NR1I3_chr1_161199661	0	0.125250501	1374	3992
NR2C1_chr12_95456417	0	0	830	1488
NR2C2_chr3_15057693	0	0.287562904	628	1391
NR2E3_chr15_72103834	0	0.215406708	3369	9749
NR2F1_chr5_92920757	0	0	1220	3508
NR2F2_chr15_96877405	0	0.168512277	1173	4154
NR2F6_chr19_17355936	0	0.089594266	2687	7813
NR3C1_chr5_142780050	0	0	685	1960
NR3C2_chr4_149357455	0	0	121	326
NR4A1_chr12_52448276	0	0.29988466	1135	4335
NR4A2_chr2_157186617	0	0.167832168	2427	7150
NR4A3_chr9_102590375	0	0.597779675	688	1171
NR5A1_chr9_127265647	0	0.063051702	1876	6344
NR6A1_chr9_127533370	0	0	709	2427
NRAS_chr1_115252229	0	0.133096717	3458	9016
NT5C2_chr10_104849578	0	0.158874262	1196	4406
NTRK1_chr1_156811896	0	0.326016083	1873	4601
NTRK2_chr9_87285829	0	0.202468184	3563	10372
NTRK3_chr15_88799162	0	0	325	690
NTSR1_chr20_61340679	0	0.067340067	1040	2970
NTSR2_chr2_11810087	0	0.659340659	127	455
NUMA1_chr11_71732280	0	0	382	1707
NUP214_chr9_134001111	0	0.316776483	1976	7892
NUP98_chr11_3756435	0	0.561797753	374	356
NUTM1_chr15_34640205	0	0	896	1285
OLIG2_chr21_34399403	0	0.08841733	3925	12441
OPN1SW_chr7_128415552	0	0.16772895	1949	5962
OPN3_chr1_241803195	0	0.170424751	3039	7628
OPN4_chr10_88417831	0	0.192554557	981	3116
OPN5_chr6_47763060	0	0	1086	2673
OPRD1_chr1_29138896	0	0.536746491	998	2422
OPRK1_chr8_54163569	0	0.205902539	940	2914
OPRL1_chr20_62724229	0.028604119	0.220661986	6992	19940
OPRM1_chr6_154360661	0	0.597014925	279	1005
OR10AD1_chr12_48596995	0	0	534	723
OR10C1_chr6_29407999	0	0.280484204	2674	6774
OR10G3_chr14_22038148	0	0.096696213	2672	6205
OR10G7_chr11_123908890	0	0.619469027	1001	2260
OR10H1_chr19_15918801	0	0.270113834	1592	5183
OR10H3_chr19_15852602	0	0.057959815	1829	5176
OR10P1_chr12_56031064	0	0.109729334	1118	5468
OR10Q1_chr11_57995400	0	0	1235	3304
OR10S1_chr11_123847791	0	0	710	2048
OR10T2_chr1_158369110	0	0.16606698	857	3613
OR10V1_chr11_59480623	0	0.378883556	1502	3959
OR10X1_chr1_158549492	0	0.221975583	504	901
OR11A1_chr6_29395097	0	0.045651678	1571	4381
OR11L1_chr1_248005069	0	0	0	105
OR12D2_chr6_29364674	0	0.059329576	1806	3371
OR13C4_chr9_107288800	0	0.131061599	747	1526
OR13C8_chr9_107331459	0	0	274	1392
OR13G1_chr1_247835653	0	0.068838917	1865	4358
OR13H1_chrX_130678719	0	0.084650113	2135	7088
OR13J1_chr9_35869685	0	0.112612613	759	1776
OR14C36_chr1_248512310	0	0	2344	4878
OR14J1_chr6_29275317	0	0.144927536	786	2070
OR1B1_chr9_125391778	0.093414292	0.551357974	2141	4897
OR1C1_chr1_247921560	0	0.028741138	3661	10438
OR1F1_chr16_3254261	0	0.059297913	2939	8432
OR1I1_chr19_15198446	0	0.201612903	645	1984
OR1K1_chr9_125563184	0	0	2853	6397
OR1M1_chr19_9204400	0	0.763844685	566	1571
OR1N1_chr9_125289293	0	0.52062475	2171	7491
OR2A12_chr7_143792985	0	0.143853049	2981	9037
OR2A2_chr7_143807597	0	0.232919255	398	1288
OR2AE1_chr7_99474535	0	0.197044335	1819	4060
OR2AK2_chr1_248128878	0	0.508967523	1411	4126
OR2B11_chr1_247614927	0	0.025748863	3762	11651
OR2C1_chr16_3406503	0	0	297	928
OR2C3_chr1_247694953	0	0	1187	2818
OR2D2_chr11_6913060	0.291205591	0	1717	62
OR2F1_chr7_143657441	0	0.136254061	4071	9541
OR2G2_chr1_247752245	0	0	578	2176
OR2G3_chr1_247769181	0	0.297712316	1314	6382
OR2G6_chr1_248685079	0	0.217526414	797	3218
OR2H1_chr6_29429549	0	0	926	2157
OR2J3_chr6_29080335	0	0.077429346	950	2583
OR2T1_chr1_248569410	0	0	1393	2495
OR2T6_chr1_248551673	0	0.153688525	403	1952
OR2V2_chr5_180582404	0	0.196163906	1356	4588
OR2W3_chr1_248058988	0	0	709	2816
OR2Z1_chr19_8841891	0	0.726612171	542	2202
OR3A2_chr17_3181509	0	0.071394574	1208	4202
OR4B1_chr11_48238451	0	0.23364486	711	2140
OR4C11_chr11_55371121	0	0	985	2683
OR4D2_chr17_56247759	0.40950041	0.31530439	1221	4123
OR4D5_chr11_123810991	0	0.078822911	5661	15224
OR4F15_chr15_102358488	0	0.232896652	1181	3435
OR4K1_chr14_20404414	0	0.04552352	2545	6590
OR4K14_chr14_20482658	0	0.247678019	568	1615
OR4K17_chr14_20585632	0	0	583	1262
OR4K5_chr14_20389655	0	0.124416796	857	3215
OR4N5_chr14_20612550	0	0.268096515	1776	5595
OR4S1_chr11_48328357	0	0.342465753	2832	7884
OR4S2_chr11_55418962	0.046630916	0.057388809	4289	10455
OR4X1_chr11_48285809	0	0.146351662	2891	9566
OR51B2_chr11_5345179	0	1.054172767	1815	3415
OR51B4_chr11_5322677	0	0	369	1424
OR51B5_chr11_5364416	0	0	1029	2569
OR51B6_chr11_5372941	0	0	1490	2748
OR51D1_chr11_4661490	0	0.120764844	4607	14905
OR51E1_chr11_4673790	0.058252427	0.237566097	5150	13049
OR51E2_chr11_4703659	0	0.359389039	1060	4452
OR51F1_chr11_4791095	0	0	1804	6580
OR51M1_chr11_5411042	0	0.074612945	1772	5361
OR51Q1_chr11_5443700	0	0.065316786	1319	3062
OR51S1_chr11_4870049	0	0.094517958	1112	2116
OR51T1_chr11_4903272	0	0.304414003	357	657
OR51V1_chr11_5221319	0	0.165453342	2093	6044
OR52A5_chr11_5153530	0	0	1295	3794
OR52B2_chr11_6191343	0	0.415584416	991	1925
OR52B4_chr11_4388901	0	0.58381985	443	1199
OR52B6_chr11_5602850	0	0.324605064	1866	4621
OR52E2_chr11_5080357	0	0.154231733	1405	5187
OR52E6_chr11_5863102	0	0.264550265	310	756
OR52H1_chr11_5566443	0	0.495575221	837	2825
OR52M1_chr11_4566807	0	0.070360598	3920	11370
OR52R1_chr11_4825196	0	0.153806716	2737	7802
OR52W1_chr11_6221026	0	0	163	251
OR56A4_chr11_6023761	0.060845756	0.078170803	3287	10234
OR56B1_chr11_5758157	0	1.449275362	0	138
OR5A1_chr11_59211349	0	0	298	994
OR5A2_chr11_59189478	0	0	226	583
OR5AP2_chr11_56409837	0	0.43715847	1353	1830
OR5B21_chr11_58275330	0	0.193873594	866	2579
OR5C1_chr9_125551363	0	0.08762322	6627	18260
OR5I1_chr11_55703286	0	0	82	429
OR5M11_chr11_56310479	0	0	241	511
OR5P2_chr11_7818460	0	1.117318436	0	179
OR5T1_chr11_56043280	0	0.054421769	1394	3675
OR5V1_chr6_29323190	0	0.789364354	700	2407
OR6B3_chr2_240984536	0	0.4048583	252	988
OR6C4_chr12_55945607	0	0.285195748	2658	7714
OR6C6_chr12_55688959	0	0	2317	6063
OR6K2_chr1_158669848	0	0.049130392	3744	10177
OR6M1_chr11_123676976	0	0.331950207	306	1205
OR6Q1_chr11_57798576	0	0.59470377	3457	8912
OR6T1_chr11_123814284	0	0.058904379	1684	5093
OR7C1_chr19_14910827	0	0.612745098	109	816
OR7C2_chr19_15052633	0	0.188214854	2569	6907
OR7D2_chr19_9297260	0	0.343642612	325	582
OR8A1_chr11_124440457	0	0.180099054	1300	4442
OR8D2_chr11_124189605	0	0	932	2142
OR8I2_chr11_55861244	0	0	940	1923
OR8J3_chr11_55904447	0	0.191204589	2028	7322
OR8K3_chr11_56086177	0	0.070521862	579	2836
OR8S1_chr12_48919464	0	0.089589679	4783	16743
OR9A4_chr7_141619592	0	0	1320	151
OR9I1_chr11_57886245	0	0	274	538
OR9Q1_chr11_57947707	0	0	528	1960
OR9Q2_chr11_57957971	0	0.247831475	148	807
OSMR_chr5_38883960	0	0	246	667
OXGR1_chr13_97639727	0	0.252525253	3043	9504
OXTR_chr3_8809655	0	0	1404	4766
P2RX2_chr12_133195470	0	0	110	221
P2RX3_chr11_57106048	0	0	165	69
P2RX4_chr12_121648019	0	0.019180972	3070	10427
P2RX5_chr17_3599248	0	0.095648015	1229	2091
P2RX6_chr22_21377298	0	0.108225108	340	1848
P2RX7_chr12_121598720	0	0.506879073	433	1381
P2RY1_chr3_152553584	0	0.107707552	7465	23211
P2RY10_chrX_78216446	0	0.122570478	4221	11422
P2RY11_chr19_10224345	0	0.342672848	1828	4961
P2RY12_chr3_151055961	0	1.262135922	331	1030
P2RY13_chr3_151046714	0	0.185013876	610	1081
P2RY14_chr3_150931439	0	0.238435861	500	2097
P2RY2_chr11_72945384	0	0	412	1348
P2RY4_chrX_69479037	0	0.162947219	5148	14115
P2RY6_chr11_72983397	0	0.35335689	972	3113
PAFAH1B2_chr11_117038250	0	0.086006709	8283	23254
PALB2_chr16_23614906	0	0.063071586	1095	3171
PARD3_chr10_35103891	0	0	1993	4900
PATZ1_chr22_31741560	0	0.055683716	4226	12571
PAX3_chr2_223163264	0	0.489296636	808	3270
PAX5_chr9_37033985	0.642722117	0.086409085	2645	8101
PAX7_chr1_18958105	0	0.040192926	1619	4976
PAX8_chr2_114004421	0	0.562091503	3176	7650
PBRM1_chr3_52662955	0	0.098655815	2667	8109
PBX1_chr1_164761948	0	0.056338028	2454	8875
PCSK7_chr11_117099043	0	0	271	560
PDCD1LG2_chr9_5534989	0	0	1112	2388
PDE4DIP_chr1_145075813	0	0	582	1938
PDGFB_chr22_39627741	0	0.252999265	4183	12253
PDGFRA_chr4_55124941	0	0	1239	3500
PDGFRB_chr5_149515290	0	0.104220948	564	1919
PER1_chr17_8053833	0	0.129935032	3846	10005
PGR_chr11_100999576	0	0.451388889	802	2880
PHOX2B_chr4_41750573	0	0	1165	1878
PICALM_chr11_85779715	0	0.039179196	7425	20419
PIK3R1_chr5_67522711	0	0.244731475	3542	7355
PIM1_chr6_37138392	0	0.368324125	864	2715
PKD1_chr16_2159074	0	0.199866755	2651	4503
PKD1L1_chr7_47969099	0	1.046025105	318	956
PKD1L2_chr16_81253824	0	0.065419338	2207	7643
PKD1L3_chr16_72020225	0	0	531	1296
PKD2_chr4_88929141	0	0.177484787	870	3944
PKD2L1_chr10_102089783	0.148809524	0.301122365	1344	3653
PLAG1_chr8_57079728	0	0.732600733	189	546
PML_chr15_74287160	0	0.48391688	1247	3513
POT1_chr7_124503593	0	1.223657376	2139	7355
POU2AF1_chr11_111229584	0	0	214	961
PPARA_chr22_46594327	0	0	1755	4261
PPARD_chr6_35389605	0	0	1173	4188
PPARG_chr3_12447438	0	0.424143556	1026	3065
PPP2R1A_chr19_52693360	0	0.452696497	5477	15242
PRCC_chr1_156737584	0	1.063829787	1344	2632
PRDM16_chr1_3102707	0	0	47	6
PRF1_chr10_72360540	0	0.137598899	930	2907
PRKAR1A_chr17_66511557	0	0	124	464
PRLHR_chr10_120354468	0	0	197	693
PROKR1_chr2_68873135	0	0	398	1487
PROKR2_chr20_5294764	0.108030248	0.220534183	2777	4081
PSIP1_chr9_15469306	0	0.385356455	313	519
PTAFR_chr1_28477472	0	0.356824264	422	1121
PTCH1_chr9_98279035	0	0.392670157	1148	3820
PTGDR_chr14_52734542	0	0	1058	1980
PTGDR2_chr11_60620911	0	0	3577	8256
PTGER1_chr19_14585023	0	0.100175307	884	3993
PTGER2_chr14_52781352	0.070323488	0.085804176	2844	10489
PTGER3_chr1_71513164	0	0.217555016	3991	11951
PTGER4_chr5_40681100	0	0.293064148	3236	9213
PTGFR_chr1_78958817	0	0	452	1129
PTGIR_chr19_47127447	0	0.120854035	3169	7447
PTH1R_chr3_46925053	0	0.241618846	3295	6622
PTH2R_chr2_209271779	0	0.095785441	398	2088
PTK7_chr6_43096807	0	0	1285	3231
QRFPR_chr4_122301713	0	0.16510732	1108	3634
RABEP1_chr17_5253750	0	0.36101083	448	831
RAC1_chr7_6438306	0	0.504710633	1601	2972
RAF1_chr3_12660084	0	0	171	1051
RAMP1_chr2_238785902	0.116550117	0.151457781	1716	5282
RAMP2_chr17_40913286	0	0.168966488	1247	3551
RAMP3_chr7_45216961	0.089766607	0.030418251	2228	6575
RANBP17_chr5_170308860	0	0	1065	4244
RARA_chr17_38510556	0	0	2946	8868
RARB_chr3_25470344	0	0	1085	3785
RARG_chr12_53621299	0	0	1080	1966
RB1_chr13_48936965	0	0	101	204
RBM15_chr1_110882087	0	0.086824398	3718	9214
RECQL4_chr8_145742475	0	0.19792835	4357	15157
REL_chr2_61145355	0	0.092592593	1362	4320
RELT_chr11_73103458	0.077101002	0.304556636	2594	8537
RET_chr10_43595982	0	0.133141019	2804	9013
RGR_chr10_86008679	0	0.119142176	6289	17626
RHO_chr3_129247606	0	0.156519017	1701	6389
RHOH_chr4_40245503	0	0.608143839	2000	3782
RMI2_chr16_11439335	0	0.760043431	1877	4605
RNF213_chr17_78247058	0	0.063599746	806	4717
RNF43_chr17_56437540	0	1.330490405	4803	11725
ROR1_chr1_64603121	0	0.115163148	1614	5210
ROR2_chr9_94538058	0.178253119	0.149031297	1122	4026
RORA_chr15_61521300	0	0.067746505	7708	16237
RORB_chr9_77245215	0	0	467	1182
RORC_chr1_151789251	0	1.101036269	424	1544
ROS1_chr6_117725524	0	0	41	86
RPN1_chr3_128369537	0	0.092364532	2021	6496
RRH_chr4_110756554	0	0.294406281	1105	4076
