#Supplementary Data 10 - Total mutation rates observed in 293T with Cas9Sp nuclease												
#Gene	293T (Control#1)	293T (CAS9 + gRNA library only)	293T (CAS9 + gRNA library + Artemis)	293T (CAS9 + gRNA library + TREX2)	293T (CAS9 + gRNA library + TdT)	293T (CAS9 + gRNA library + ddrA)	293T (Control#1) - Total Read Count	293T (CAS9 + gRNA library only) - Total Read Count	293T (CAS9 + gRNA library + Artemis) - Total Read Count	293T (CAS9 + gRNA library + TREX2) - Total Read Count	293T (CAS9 + gRNA library + TdT) - Total Read Count	293T (CAS9 + gRNA library + ddrA) - Total Read Count
CNGB3_chr8_87680282	0	0.051473427	0.037390166	0.127849989	0.204498978	0.090293454	1402	3140	3008	2030	1984	2024
CNOT3_chr19_54647978	0	2.156057495	1.533742331	6.985294118	2.789699571	1.153846154	219	615	372	553	302	340
CNR1_chr6_88854441	0.667556742	2.053856686	0.948212983	1.98446937	0.629496403	0.739371534	2784	7771	5349	4693	3912	2215
CNR2_chr1_24201910	0	1.428065023	1.775714707	5.234082397	1.377410468	0.875953659	303	974	652	272	466	520
CNTFR_chr9_34564803	0	1.66520596	1.884253028	5.571030641	2.375809935	1.379310345	749	2191	1371	1159	1112	1082
CNTRL_chr9_123902987	0	0.021663778	0.380920835	0.829098689	0.242718447	0.06616674	8161	19747	13572	10680	9801	10617
COL1A1_chr17_48278809	0.021410984	1.008994202	2.393528114	2.412924885	0.819448238	0.615050651	561	1141	743	359	463	580
COX6C_chr8_100904180	0	0.186219739	0	0.36036036	0	0	3503	9232	6038	3739	4120	4534
CREB1_chr2_208424986	0	0.846113168	0	1.924686192	0.721153846	0.55187638	9341	21903	14957	9532	10983	11056
CREB3L1_chr11_46299668	0	0.436152169	0.47118124	1.048451152	0.393296854	0.301013942	102	1074	166	555	189	175
CREBBP_chr16_3929838	0	1.151012891	1.67192429	2.216848045	1.505757307	0.457761132	536	1891	1247	1195	832	906
CRHR1_chr17_43912034	0	0.226654578	0	0.46641791	0	0.177147919	4928	12381	9126	6295	5848	6312
CRHR2_chr7_30721551	0	0.273348519	0.632022472	0.27173913	0.281293952	0.278035218	1786	4344	3170	2481	2258	2403
CRTC1_chr19_18882255	0	0.939214859	1.490196078	4.194984767	1.084598698	0.699697428	966	2206	1399	1072	1097	1129
CRTC3_chr15_91083300	0	0.037418148	0	0.062150404	0	0	1490	4390	2848	2208	2133	2158
CSF1R_chr5_149460507	0	2.081665332	1.017639077	2.978056426	1.974653699	1.665344964	3411	9476	6375	4267	4610	5288
CSF2RB_chr22_37325741	0	0.719602978	1.050065629	2.274422073	0.828870186	0.721240534	1996	5345	3387	3218	2415	2698
CSF3R_chr1_36938254	0	3.628745917	3.366674799	5.916326243	3.893895596	2.747650036	2744	7494	4422	3190	3393	3783
CTNNB1_chr3_41266954	0	0.145205864	0.225538972	0.235109718	0.130995566	0.086092197	6526	16120	10666	8046	7842	8319
CXCR3_chrX_70837413	0	0.766509434	0.96069869	3.395585739	0.858895706	0.308959835	5665	14082	8198	7099	5881	6915
CXCR4_chr2_136873192	0.039138943	0.668946038	0.778406793	0.887419523	0.734312417	0.531766023	8860	21349	15075	11484	9924	12777
CXCR5_chr11_118754656	0	0.137835975	0.952380952	0	0	0.622665006	755	1696	1145	589	815	971
CXCR6_chr3_45988493	0	3.601108033	3.594771242	7.400379507	2.450980392	2.046783626	5110	13454	9892	5747	7490	7146
CYLD_chr16_50783723	0.060957025	0.212636695	0.164934851	0.256663376	0.227324392	0.086580087	504	1451	945	698	736	803
CYSLTR1_chrX_77529187	0	1.927194861	1.846032993	5.318340678	1.377875991	1.468304391	366	722	612	527	408	342
CYSLTR2_chr13_49281652	0	0.599315068	0.217391304	0.533807829	0.510204082	0	3281	9876	6063	5065	4399	3465
DARC_chr1_159175579	0	0.226267613	0.343911208	1.310385292	0.487081745	0.447296772	6410	14477	10184	6581	7693	7083
DDB2_chr11_47236722	0	1.408450704	0.958968716	1.649175412	1.143241426	1.139000211	458	1168	920	562	588	740
DDR2_chr1_162729604	0	0.2842832	0.415608405	0.739371534	0.267459138	0.162381597	3399	9723	6397	5113	4722	5142
DDX5_chr17_62502206	0	1.243538842	1.521891829	3.082950094	0.806722689	0.835012957	3482	9301	6361	4669	4461	4741
DEK_chr6_18250048	0.109229929	0.051156129	0.060231893	0.069625762	0.06922012	0.070596541	2475	7387	4331	3787	3365	3695
DICER1_chr14_95596403	0	0	0.1614205	0	0	0.384615385	4676	13349	8542	5871	5950	6946
DNM2_chr19_10828974	0	0.486026731	0.583190395	0.893697084	0.716332378	0.310559006	3662	9774	6641	5745	4334	2833
DNTTIP1_chr20_44424002	0	0.525854514	1.431238332	3.118503119	0.73831009	0.460122699	694	2197	1239	1084	1007	520
EBF1_chr5_158523386	0	0.680747076	0.64683053	1.296647691	0.309278351	0.576923077	1641	4115	2915	2126	2094	2254
ECT2L_chr6_139164128	0	0.503693754	1.165425704	0.740283775	0.219901045	0.535905681	68	130	135	101	84	92
EDAR_chr2_109546671	0	2.75042037	2.694828842	3.4491254	2.037120869	2.015334064	1009	2282	1607	1443	1219	1304
EDNRA_chr4_148461533	0	0.469043152	0.734494015	1.791751183	0.565656566	0.656455142	2194	5729	3865	3162	2910	3120
EDNRB_chr13_78493656	0	0.419412822	1.010805159	1.140374695	0.369603785	0.321723318	1961	2978	3089	1621	1819	933
EGF_chr4_110866249	0.568181818	0.377358491	1.948717949	1.386138614	0	0	3486	8326	5492	4059	4418	4565
EGFR_chr7_55086971	0	0.901378579	0.13029316	2.001819836	0.751173709	0.182648402	2285	5330	3676	2958	2475	1828
ELK4_chr1_205589569	0	1.341235184	0.234521576	1.050884956	0.981595092	0.415430267	5088	13352	8607	7366	6764	7149
ELL_chr19_18632793	0	0.913107511	1.166180758	2.74122807	0.67766647	0.531617236	528	1325	975	1010	773	488
EML4_chr2_42490378	0	0.045060268	0	0.044257579	0.057636888	0	821	1886	1535	1099	1065	1095
EMR3_chr19_14772891	0	0.458204334	0.729068674	1.395275091	0.295834333	0.352289884	1240	3206	2132	1808	1630	1685
EP300_chr22_41489011	0	0.261780105	0	1.061007958	0	0	2584	6790	4116	2736	3394	3574
EPHA1_chr7_143098593	0	0.221863655	0.638138138	2.103879027	0.329877474	0.410771337	2610	8877	5423	4519	3470	3061
EPHA2_chr1_16475317	0	1.0769498	1.158504476	3.633916555	0.546846518	0.781504396	9909	24225	17008	12614	12507	7948
EPHA3_chr3_89156935	0	0.81799591	1.042238069	2.66844563	0.24291498	0.747282609	264	764	481	377	370	412
EPHA4_chr2_222429010	0	2.612244898	2.425876011	2.510864317	1.740911418	2.669632925	1549	4958	2664	1521	2122	2191
EPHA5_chr4_66509116	0	1.142170123	2.079796265	2.547770701	1.64126612	0.705218618	2176	5757	3798	2972	2743	3071
EPHA6_chr3_96533585	0	0.750773994	0.766837075	1.993223042	0.317611561	0.362161379	1100	2445	1823	1499	1235	1472
EPHA7_chr6_94120834	0	2.256097561	2.793946449	3.710575139	1.404853129	2.339622642	1362	3675	2597	2071	1953	1798
EPHA8_chr1_22902806	0	0.761266748	1.221719457	2.885821832	1.082251082	0.817096166	1271	3327	2356	1884	1706	1418
EPHB1_chr3_134670310	0	1.98915009	3.111111111	3.387978142	2.883156297	0.906344411	5354	12920	8998	5017	6297	6903
EPHB2_chr1_23110981	0	1.451065144	1.024955437	4.578947368	0.681959082	0.88691796	1725	4920	3436	2695	2349	2650
EPHB3_chr3_184290590	0	0.97260496	0.595238095	2.688172043	0.81589216	0.3470214	1055	3284	2210	1594	1386	1591
EPHB4_chr7_100421316	0	4.098703471	2.906629504	5.281051677	1.98490355	2.276214834	511	1659	675	915	659	662
EPHB6_chr7_142561404	0	1.43501435	2.262948207	4.446337308	1.077475629	1.245704467	1365	3239	2244	1900	1613	1804
EPOR_chr19_11492715	0	0.039798835	0.059766368	0.035149385	0.062967336	0.020241549	2575	6169	4536	3348	2819	3458
EPS15_chr1_51937374	0	0.420946287	0.709219858	1.210244864	0.371333086	0.386100386	3153	7173	5023	4412	3577	3910
ERBB2_chr17_37864711	0	0.441150521	0.676642811	0.832324455	0.466562986	0.42884371	3004	9756	6275	5870	3898	4656
ERBB3_chr12_56477568	0	1.962101868	2.179123992	5.92522925	1.340482574	2.140830539	9575	27639	18405	14225	12705	14821
ERBB4_chr2_213403206	0	1.125748503	1.555153707	3.004466098	0.696171059	1.022676745	2326	5939	4230	3553	2693	1813
ERC1_chr12_1137138	0.386847195	0.530503979	0.323974082	0.432276657	0.556328234	0.517464424	4446	11334	7685	6608	5787	6296
ERCC2_chr19_45873468	0.133749443	0.544773578	0.535188654	1.564689397	0.333951763	0.533807829	2754	7441	4589	4253	3357	3877
ERCC3_chr2_128051260	0.136239782	0.530973451	0.583430572	0.707108299	0.278842802	0.764525994	1567	4175	2765	2463	2011	2249
ERCC4_chr16_14014038	0	0.299593409	0.849590938	1.853997683	0.388198758	0.387460373	517	1508	926	694	719	773
ERG_chr21_39817476	0	0.446006217	0.175987485	0.951496867	0.315457413	0.301356102	4486	11748	7474	4282	5390	6182
ESR1_chr6_152129085	0	1.857585139	0.483953133	1.69225948	1.001821494	1.305282555	2202	6215	4285	2687	2869	3270
ESR2_chr14_64746818	0	0.440414508	1.166861144	0.385356455	0.371155885	0.4002001	1833	4673	3178	2589	2576	2839
ESRRB_chr14_76905811	0	0.10862481	0.063836578	0	0.146270112	0.232153221	67	316	171	123	143	166
ESRRG_chr1_216850646	0	0.366300366	0.421940928	5.076923077	0.885558583	0.751879699	2786	7399	5114	4309	3804	3982
ETV1_chr7_13975398	0	1.208127403	0.957701516	1.084337349	1.088270859	0.221975583	4337	11951	7852	6382	5490	6512
ETV4_chr17_41622707	0	1.25824766	1.56143924	2.258331038	0.472292191	0.461329715	1496	3860	2571	2076	1886	1999
ETV5_chr3_185783777	0	3.50631136	1.901140684	5.738880918	0.319488818	1.5625	1687	4603	3133	1975	2051	1723
ETV6_chr12_12022434	0	0.165115581	0.209986001	0.531286895	0.189933523	0.183767228	1093	2730	1896	1300	1468	1463
EWSR1_chr22_29695707	0	3.400987383	3.100088574	4.727646454	3.229813665	1.267159451	679	1821	1253	830	827	901
EXT1_chr8_119122970	0	2.418478261	1.223362273	2.450980392	2.821316614	2.425467408	2846	6517	4419	3631	3176	3685
EXT2_chr11_44117807	0	2.252832132	5.233111323	5.87322695	1.299638989	1.205347359	390	1426	789	697	626	704
EZH2_chr7_148523688	0	1.086817543	0.788022065	1.444622793	0.954294324	1.10796794	2324	6662	4286	3388	3159	3265
EZR_chr6_159208212	0	0.459887583	1.10673881	3.495205691	0.720720721	0.856269113	726	1823	1129	973	805	947
F2R_chr5_76012160	0	0.687789799	0.623853211	2.397210519	0.478074514	0.3301816	1439	3680	2534	1836	1914	1979
F2RL2_chr5_75914407	0	2.503770739	3.067746059	3.016359918	1.920903955	1.310043668	3445	7768	5255	4512	4155	4563
F2RL3_chr19_17000067	0.071301248	2.199789061	1.718931475	2.571860817	1.623188406	1.637583893	3136	7821	5076	4361	3982	4242
FANCA_chr16_89882997	0	0.63583815	0.471451021	1.024302069	0.621860799	0.352035204	2188	5871	4066	3233	3330	3270
FANCC_chr9_97873772	0	1.142857143	2.167832168	2.065131056	0.95902354	1.044386423	4800	12940	8175	6883	6066	6663
FANCD2_chr3_10081494	0	1.01689612	1.826552947	4.313611192	0.806371329	1.019056354	1494	3315	2347	1956	1770	1603
FANCE_chr6_35420491	0	2.77324633	0.3125	0.423728814	0	0	2805	6637	4305	2644	3450	3725
FANCF_chr11_22647249	0.021727322	8.109901779	4.860449285	5.831265509	6.263269639	6.452694209	3349	8650	5727	4979	4181	4545
FANCG_chr9_35079443	0	0.485436893	0.260756193	1.689774697	0.275482094	0.442314781	934	2450	1430	1259	1147	1149
FBXO11_chr2_48132833	0	2.239583333	1.265822785	2.807971014	0.980392157	2.49332146	8059	19176	13249	10293	10045	9813
FBXW7_chr4_153303456	0	0.093826234	0	0.120300752	0	0.110741971	296	613	640	472	294	361
FCRL4_chr1_157557180	0	2.225519288	2.637362637	4	1.818181818	1.608579088	9205	22602	14690	12090	11304	11933
FEV_chr2_219846915	0.036757949	2.355542003	2.905114327	5.551766471	1.796580701	2.133555001	1527	4738	3068	2308	2541	2713
FFAR1_chr19_35842484	0	1.037527594	1.373626374	1.074787282	1.023890785	0.672753484	802	1920	1501	1104	1020	1123
FFAR2_chr19_35940835	0	2.109139605	1.539278132	5.22749274	0.874831763	1.059190031	1820	5329	3801	3325	2884	1806
FFAR4_chr10_95326507	0	0.662353666	1.05290866	0.426089807	0.555941626	0.431699044	346	674	455	350	330	373
FGFR1_chr8_38275832	0	0.499311295	0.435611217	1.176470588	0.62305296	0.83500334	5441	13118	9053	7331	6902	7218
FGFR1OP_chr6_167416690	0	0	0	0.095923261	0	0	1396	4530	2548	2233	2051	2081
FGFR3_chr4_1803216	0	1.442585113	0.963391137	2.833158447	1.963350785	2.467685076	1123	2987	1884	1033	1486	1605
FGFR4_chr5_176517551	0	1.905784458	1.548117155	1.998482165	2.055464927	1.679104478	2169	6492	3799	3051	2878	3243
FH_chr1_241682912	0.036330609	0.303732976	0.529444084	0.826263371	0.310361854	0.302972922	2171	5808	3673	3145	2568	2994
FHIT_chr3_59999793	0	0.437342304	0.412139378	0.530926467	0.302938503	0.292069198	1242	3085	2596	2085	2214	931
FIP1L1_chr4_54244017	0	1.355247982	0.940438871	2.553413236	2.090800478	0.638421358	632	1733	1038	953	764	851
FLCN_chr17_17131408	0	1.569396763	0.726643599	2.944735781	1.891615542	1.775392238	3108	7451	4780	3953	3065	4288
FLI1_chr11_128628040	0	0.776340111	0.311429461	0.727096461	0.486891386	0.581170089	11010	30619	20021	13555	14177	15843
FLT1_chr13_29012380	0	0.474833808	0.599657339	0.66850177	0.437445319	0.454733361	2288	5945	5338	3767	3301	4451
FLT3_chr13_28674625	0	0.670731707	0.362318841	0.969827586	0.751408892	0.347912525	1367	3468	2233	1919	1674	1723
FLT4_chr5_180058732	0	0.104210088	0.10359116	0.755555556	0.316027088	0.135440181	1193	4078	2890	2479	1956	2422
FNBP1_chr9_132719710	0	2.040816327	3.434610304	3.094233474	3.459637562	3.174603175	1889	5410	3211	2063	2670	2581
FOXL2_chr3_138665352	0	1.038338658	1.293340671	2.096802376	0.690652104	0.916466346	1646	5265	3502	2543	2286	2419
FOXO1_chr13_41240184	0.045955882	0.510802789	0.983412322	1.751180143	0.850629466	0.678583251	1399	3280	2208	1856	1597	2012
FOXO4_chrX_70316416	0	1.895277867	4.065633546	3.640299095	1.479099678	1.272954925	1591	4798	2896	2250	2215	2215
FOXP1_chr3_71247439	0	4.462659381	4.870624049	3.938356164	4.06504065	2.052238806	396	1225	757	711	607	630
FPR2_chr19_52272336	0	5.729670026	2.927017138	7.001693958	4.843073593	3.295400664	4271	11268	7268	5723	6226	6656
FPR3_chr19_52327228	0	0.89633012	1.349778916	3.381294964	0.48126504	0.641267446	4352	14487	8440	6567	5878	6042
FSTL3_chr19_680276	0	1.196013289	0.432525952	1.180714989	0.760079313	0.415070243	3419	9339	5485	5082	4665	4792
FUBP1_chr1_78428479	0	0.055463117	0	0	0	0	365	1098	657	584	492	536
FUS_chr16_31195211	0	0.608499362	1.511369939	2.193686463	0.672468354	0.602516392	3329	7243	5193	3542	3696	4218
FZD1_chr7_90894214	0.075120192	0.968549958	0.73943662	0.631273931	0.49651259	0.523739041	2696	5913	4297	2780	2909	2651
FZD10_chr12_130647688	0	0.617805236	1.121805509	2.187638951	0.579462335	0.387363347	47	133	74	63	94	100
FZD2_chr17_42635373	0	1.35666882	1.44585648	4.696071977	1.120931235	1.066161817	2318	6020	4624	3049	3026	3132
FZD4_chr11_86665941	0	0.280504909	0.279403938	0.532575892	0.127249591	0.17135024	1280	3606	2416	2262	1878	1000
FZD5_chr2_208633019	0	3.630414459	2.826510721	3.036238981	2.07201087	2.590361446	3523	10189	7212	5607	5056	5643
FZD6_chr8_104312479	0	0.305010893	0.765696784	0.480615187	0.262172285	0.254210359	6656	17965	11360	9663	8459	8783
FZD7_chr2_202899717	0	0.183128544	0.363433044	0.533397988	0.314063045	0.41532072	8642	22499	15065	11245	10527	11617
FZD8_chr10_35930287	0	0.231903263	0.212314225	0.233333333	0.142247511	0.100942127	7662	17027	13141	9114	9278	10036
FZD9_chr7_72848392	0	0.704396405	0.617760618	1.204819277	0.625651721	0.287769784	4154	11408	7516	5633	5501	5836
GABBR1_chr6_29598301	0	0.462877245	0.758955677	2.071397091	1.012855473	0.862688713	2384	6418	4104	3063	2944	3320
GABBR2_chr9_101470770	0.061919505	0.442477876	0.519352046	0.494071146	0.208433542	0.394259581	4817	11475	8489	6242	5340	6294
GABRA1_chr5_161281236	0	0.571837026	0.873362445	1.625857003	0.728554642	0.728476821	6122	16928	10731	8249	8597	8668
GABRA2_chr4_46252583	0.05312085	0.47826087	0.602316602	1.661589587	0.21978022	0.313261399	1808	6037	3768	3000	2812	2972
GABRA3_chrX_151532930	0	0.052910053	0	0	0	0	1348	4117	2590	2158	1918	2085
GABRA4_chr4_46995409	0	0.216245439	0.550098232	0.071736011	0	0.068917988	1903	5401	3294	2269	2567	2782
GABRB1_chr4_47034436	0	0.244413408	0.297088532	0.323415265	0.165425972	0.21111893	4845	12430	8087	6072	6237	6341
GABRB2_chr5_160973391	0	0.119205298	0.477872429	0.610500611	0.1298027	0.258509263	3434	8394	5496	5105	4255	4530
GABRB3_chr15_27017830	0.23255814	0.230858022	0.803212851	1.290322581	0.163934426	0.524344569	3765	9200	6475	3611	4550	2873
GABRD_chr1_1956387	0	3.331953642	2.067725502	3.581979321	3.522677235	4.094910065	1371	3780	2613	1920	1730	1929
GABRE_chrX_151131062	0	0.028595939	0.026443367	0	0	0.031549059	2987	7399	5090	4182	3807	4353
GABRG1_chr4_46060576	0	0.266453504	0.069516858	0.573888092	0.096200096	0	36	132	62	54	53	40
GABRG2_chr5_161524708	0	0.405734379	1.220025242	1.774397972	0.576368876	0.79491256	1059	2864	1683	1546	1209	1421
GABRG3_chr15_27216712	0	0.184706317	0.804597701	1.199040767	0	0.624024961	2721	7550	4813	4914	3852	2321
GABRP_chr5_170216142	0	0	0.725221595	0.542888165	0.181323663	0	860	2599	1743	1085	1220	1335
GABRQ_chrX_151806766	0	0	0	0.164744646	0	0	1925	4832	3337	2708	2271	2613
GABRR1_chr6_89926935	0	0.492610837	2.576112412	0	0	0	6543	17485	11345	6419	8473	9509
GABRR2_chr6_90009545	0	1.278132815	3.176588294	3.080903104	0.580152672	0.903526669	1145	3753	2877	2091	2079	1215
GALR1_chr18_74962577	0	3.828429635	3.008669046	3.897849462	3.462321792	3.360768176	1417	3697	2377	1578	1735	1258
GALR2_chr17_74070965	0	1.927194861	2.940336854	3.827573393	1.977510663	2.182866557	1029	2707	1740	1251	1231	1282
GALR3_chr22_38220765	0	2.434162841	1.513658755	3.467879477	1.679731243	2.241948333	638	2137	1241	921	1103	1053
GAS7_chr17_9923154	0.088365243	2.968657599	1.570475069	2.274277917	1.994582615	1.634997791	2092	4719	3214	2428	2259	2702
GATA1_chrX_48650291	0	0.576992427	0.515759312	0.936599424	0.594795539	0.805369128	195	609	427	315	296	269
GATA2_chr3_128205845	0	0.926694329	1.190011705	2.652022502	0.555261766	0.545107659	2447	7198	3998	4252	3275	3431
GATA3_chr10_8097626	0	0	0.389105058	0	0	0	1235	2821	1961	1488	1473	1458
GCGR_chr17_79769294	0	1.303871228	1.21766954	3.278518978	1.205756515	1.299967501	1815	5137	3503	2691	2579	2428
GHRHR_chr7_31009490	0	1.341975534	2.255118982	2.810929648	1.268615554	0.992242468	6341	16556	11165	7036	8037	8787
GHSR_chr3_172166173	0	0.084781687	0.257941895	1.154401154	0.178147268	0.181950509	3395	8455	5094	4397	4061	4526
GIPR_chr19_46173895	0	0.479616307	1.040832666	3.392857143	1.283547258	1.071811361	1040	2773	1745	1388	1345	1490
GLP1R_chr6_39025261	0	0.19470405	0.36383991	0.673400673	0.321428571	0.451612903	2927	7230	5126	3733	3782	3669
GLRA1_chr5_151239543	0	1.380020597	0.808781051	2.85139215	0.600720865	0.547245531	201	230	514	138	106	131
GLRA2_chrX_14548185	0	0.144032922	0.150829563	0.170068027	0	0	6237	17333	11251	9669	7713	9231
GLRA4_chrX_102979166	0	0.323362975	1.631701632	2.014652015	0	0.261437908	4245	10954	7228	6368	5439	5543
GLRB_chr4_158065081	0	0.630790459	0.627967529	1.305669827	0.874817746	0.690488521	3682	11795	7366	6237	5052	5496
GNA11_chr19_3114954	0	0.12116806	0.525082044	0.521759753	0.167073641	0.072455018	596	1668	1249	560	857	933
GNAS_chr20_57415213	0	0.260841213	0.709555345	1.392111369	0.330687831	0.697084918	1908	5136	3573	2970	2800	3100
GOLGA5_chr14_93275695	0	0.230294148	0.658978583	1.819418466	0.273166632	0.302190884	2137	4855	3462	2981	2497	2741
GOPC_chr6_117923356	0	0.399042298	0.707964602	0.574241181	0.280112045	0.442198358	792	14580	1326	1176	993	851
GPBAR1_chr2_219127537	0	0.317770716	0.443081118	2.742508888	0.152052712	0.414078675	471	1237	858	546	556	765
GPC3_chrX_133119446	0.035277516	0.028766335	0.029694738	0.016140747	0.017908309	0	3638	10146	6529	5591	4801	5793
GPER_chr7_1131625	0	0.348874088	0.150075038	0.382897256	0.205902539	0.397953383	5797	16506	10665	8433	7781	8281
GPHN_chr14_66975253	0	1.311966188	2.063426118	3.161478599	1.375720394	1.047120419	990	3067	2114	1724	1512	1578
GPR1_chr2_207041017	0	0.423239708	0.118273211	0.968992248	0	0.293470286	3071	9553	6677	5881	4759	3971
GPR101_chrX_136113719	0	0.076589226	0	0	0	0	1028	2506	1695	1219	1428	1583
GPR110_chr6_46977763	0	0.156054931	0.278862242	0.125156446	0	0	1519	4091	2934	1969	1973	2415
GPR111_chr6_47650058	0	0.454545455	0.344926703	1.406822124	0.364753312	0.3203507	8504	24334	16838	12391	11168	13429
GPR112_chrX_135405025	0	0	0	0	0	0	1127	3153	1999	1567	1457	1759
GPR113_chr2_26569073	0	0.021269054	0.044326241	0.11687363	0.028461648	0.121670948	4242	11357	7221	6168	5379	6112
GPR115_chr6_47682064	0	0.668784484	1.401208382	2.312688104	0.631578947	0.754345687	739	2599	1691	1032	1235	1363
GPR116_chr6_46849820	0	0.451467269	0	1.086956522	0	0	1315	3917	2170	2082	1855	1947
GPR119_chrX_129519072	0	0	0	0.093691443	0	0	945	3204	1793	1598	1420	1158
GPR12_chr13_27333933	0	0.388601036	0	0	0.206185567	0.284629981	4110	11000	6958	5189	5209	5931
GPR123_chr10_134910575	0	2.568765629	2.319771592	5.308798646	1.94752502	1.917989418	1454	3851	2552	1677	2115	1708
GPR124_chr8_37655026	0	1.089638158	0.694883133	1.105182927	0.758213985	0.991501416	4905	14105	9024	6845	7027	7397
GPR125_chr4_22414950	0	0	0	1.03626943	0	0	4585	11962	7779	6313	5700	6098
GPR126_chr6_142688773	0	0.176852034	0.421813799	1.430228063	0	0.229270157	286	443	445	460	231	204
GPR128_chr3_100352109	0.185185185	0.244125725	0.193423598	0	0.22556391	0.296515938	2466	6014	3840	3202	2977	3202
GPR132_chr14_105518363	0	0.212273254	1.091767483	2.838645418	0.368188513	0.214899713	810	2316	1284	1224	970	1054
GPR133_chr12_131439174	0	1.001430615	0.636942675	1.724137931	0	0	3436	8798	5604	4728	3697	4536
GPR135_chr14_59931803	0	2.797833935	1.108033241	1.866779805	1.137197359	0.649069667	1795	4864	3166	2624	2374	2824
GPR139_chr16_20043741	0	2.273301339	1.347173145	2.642228041	2.357723577	1.81197479	114	390	238	193	169	229
GPR142_chr17_72363845	0	3.010969331	3.229470951	4.210744659	2.061640983	2.396135266	1906	5089	3319	2587	2488	2617
GPR143_chrX_9733777	0	0.083273852	0.214942825	0.44993078	0.147383935	0.127673157	1080	3277	2068	1826	1330	1349
GPR144_chr9_127214931	0	0.34965035	0.219840616	1.546844788	0.317662008	0.162839928	2040	5182	3389	2008	2716	2792
GPR146_chr7_1097534	0	2.465633864	2.69058296	4.51889365	1.675318546	1.421480144	280	699	471	348	329	324
GPR148_chr2_131486939	0	0.893854749	0.643776824	0.778210117	0	0	1805	4432	2888	2357	2726	2311
GPR150_chr5_94955994	0	0.650759219	0.57024365	1.620029455	0.350385424	0.907911803	2889	7918	4528	4201	3690	3808
GPR151_chr5_145895385	0	0.875480627	1.479934629	3.364360211	0.685093314	0.753617363	3683	8934	6162	4821	4802	5175
GPR152_chr11_67219656	0	0.886143931	0.574962031	2.140149199	0.586554369	0.451587196	6443	16812	11631	8668	8142	9399
GPR153_chr1_6314725	0	0.636294222	0.923272843	0.667222686	0.587803086	0.601051841	4384	9724	7278	5689	4722	6141
GPR156_chr3_119886981	0	0.537323303	0.329528069	0.936697386	0.544015826	0.286015355	3485	9166	6244	5134	4238	4432
GPR157_chr1_9189031	0	2.749696725	2.112676056	6.456571868	1.419110691	1.364877161	230	895	466	514	463	440
GPR158_chr10_25464466	0	0.109965636	0.118367557	0.202288387	0.105780128	0.071386852	1157	2766	1929	1358	1427	1542
GPR161_chr1_168105500	0	0.616016427	0.424929178	0.347881088	0.401358444	0.297353553	6974	16905	11014	8917	8466	9952
GPR162_chr12_6933096	0	1.236537694	0.688004786	0.877862595	0.851926978	0.45231813	4955	14896	9218	8177	6649	7529
GPR17_chr2_128408507	0.033632287	0.443632568	0.540019286	1.0983686	0.276338515	0.226509412	1456	3929	3141	2398	2722	2662
GPR171_chr3_150916788	0.122199593	0.746009715	2.430647292	3.958333333	0.985221675	0.46253469	4651	12097	8497	6619	6066	6643
GPR173_chrX_53105850	0.058122639	2.713856928	2.231964926	5.646630237	2.233186185	2.462502798	599	2473	1562	1301	1057	1099
GPR174_chrX_78426836	0	0.091774693	0.092867756	0.251946862	0.080993521	0	11022	29100	19431	15819	13235	15409
GPR176_chr15_40212169	0	0.682438581	0.787844682	1.483924155	1.845342707	0.76142132	2431	6331	4236	3162	3239	3363
GPR18_chr13_99907740	0	0.806945863	1.065586072	2.58719816	0.952380952	0.62621464	1778	5014	3343	2620	2465	2653
GPR182_chr12_57389219	0	0.094007051	0.202224469	0.134892086	0	0	8920	22992	15555	12382	11580	12803
GPR19_chr12_12814318	0	1.922109289	1.587954583	2.915565992	1.250478499	1.103448276	2455	5764	3785	1920	2842	3243
GPR20_chr8_142367715	0	1.493598862	2.468754822	2.740303541	1.406101049	1.337359793	3441	7996	5018	4392	3851	4467
GPR22_chr7_107115383	0	0.535264484	0.144927536	0.82592122	0	0.22172949	2831	8717	5384	4366	3704	3601
GPR25_chr1_200842201	0	0.197889182	0.161117078	0.195822454	0.223546945	0.131147541	999	2198	1777	1213	1138	1182
GPR26_chr10_125426057	0	1.535141632	2.089337176	2.741846324	1.348769899	1.334359764	3779	9790	6663	5218	4830	4631
GPR27_chr3_71803201	0.045987583	0.428759894	0.390526581	0.964010283	0.246175488	0.166583375	1699	4255	2967	2224	2025	2480
GPR3_chr1_27720654	0	0.708622542	1.225695692	2.456532142	0.587524709	0.660326221	5895	19874	12154	10221	7837	7250
GPR31_chr6_167571156	0	1.089108911	1.085141903	1.567091087	0.723763571	0.510204082	2942	8436	6481	4744	4196	4636
GPR32_chr19_51273916	0.098135427	0.067636118	0.25302221	0.333333333	0.235294118	0.190621426	1254	3176	2070	1574	1342	1804
GPR34_chrX_41554966	0	0.323805966	0.338311742	1.315653165	0.250912409	0.326797386	1184	3032	1862	1532	1342	1525
GPR35_chr2_241570077	0	0.870380289	1.70741564	2.213601095	0.81198376	0.556160077	14613	36609	24984	18090	17275	19485
GPR37_chr7_124404992	0	1.290293974	2.142947984	3.720492645	0.993208829	1.052044313	4349	12128	7938	4668	5687	6003
